2023-11-21 23:01:38
SET: nan
SET: 333376.00
SET: 290400.00
SET: 276693.34
SET: 266344.97
SET: 245363.12
SET: 242661.34
SET: 241798.06
SET: 236888.67
SET: 237177.09
SET: 231495.00
SET: 224842.72
SET: 221669.00
SET: 223646.08
SET: 222520.97
SET: 223230.89
SET: 223512.61
SET: 224889.30
SET: 223559.59
SET: 223422.92
SET: 219829.77
SET: 216683.53
SET: 213616.70
SET: 210578.62
SET: 208351.70
SET: 205782.25
SET: 206081.77
SET: 206734.16
SET: 207194.06
SET: 207801.62
SET: 208893.73
SET: 209696.91
SET: 211174.03
SET: 212003.88
SET: 212275.44
SET: 212840.17
SET: 213486.34
SET: 213802.16
SET: 213085.17
SET: 212582.33
SET: 212487.88
SET: 212593.72
SET: 212443.34
SET: 212553.48
SET: 211966.95
SET: 210909.16
SET: 209770.20
SET: 208848.61
SET: 207657.09
SET: 206751.56
SET: 205414.30
SET: 204138.19
SET: 203087.52
SET: 202205.94
SET: 201647.23
SET: 201625.22
SET: 201833.08
SET: 202449.69
SET: 202791.02
SET: 203142.70
SET: 203393.42
SET: 203248.30
SET: 203873.72
SET: 204230.28
SET: 204222.20
SET: 204829.39
SET: 205336.72
SET: 205343.50
SET: 205449.69
SET: 205106.91
SET: 205208.42
SET: 205388.52
SET: 205405.20
SET: 205496.70
SET: 205489.47
SET: 205117.78
SET: 205014.39
SET: 204772.61
SET: 204776.23
SET: 204723.95
SET: 204859.83
SET: 204300.53
SET: 203925.58
SET: 203680.14
SET: 203495.67
SET: 203740.64
SET: 203814.25
SET: 203661.41
SET: 203727.36
SET: 203745.86
SET: 203733.06
SET: 203857.11
SET: 203949.12
SET: 204082.95
SET: 204177.59
SET: 204275.27
SET: 204310.00
SET: 204390.80
SET: 204477.70
SET: 204492.23
SET: 204372.97
SET: 204289.58
SET: 203748.67
SET: 203124.58
SET: 202577.28
SET: 201953.08
SET: 201384.33
SET: 200871.83
SET: 200259.42
SET: 199683.17
SET: 199192.59
SET: 198586.22
SET: 198058.55
SET: 197631.23
SET: 197157.61
SET: 196723.72
SET: 196026.44
SET: 195481.23
SET: 194913.58
SET: 194373.42
SET: 193922.94
SET: 193408.06
SET: 192887.98
SET: 192542.86
SET: 192200.20
SET: 192103.75
SET: 191807.56
SET: 191572.88
SET: 191546.77
SET: 191515.84
SET: 191418.56
SET: 191420.80
SET: 191205.17
SET: 191010.16
SET: 191057.12
SET: 190919.31
SET: 190798.06
SET: 190768.34
SET: 190776.78
SET: 190766.95
SET: 190875.47
SET: 190931.69
SET: 191103.89
SET: 191195.72
SET: 190992.52
SET: 191035.16
SET: 191051.81
SET: 190810.48
SET: 190725.03
SET: 190586.95
SET: 190391.23
SET: 190261.86
SET: 190285.25
SET: 189985.75
SET: 189899.66
SET: 189788.48
SET: 189819.84
SET: 189823.33
SET: 189757.83
SET: 189682.09
SET: 189802.78
SET: 189675.52
SET: 189694.58
SET: 189497.39
SET: 189326.97
SET: 189198.70
SET: 188907.98
SET: 188655.56
SET: 188472.89
SET: 188507.16
SET: 188423.17
SET: 188408.19
SET: 188300.30
SET: 188044.80
SET: 187902.95
SET: 187682.84
SET: 187461.27
SET: 187230.17
SET: 187073.12
SET: 187016.17
SET: 186966.95
SET: 186848.20
SET: 186695.45
SET: 186387.06
SET: 186278.77
SET: 186005.83
SET: 185701.11
SET: 185362.23
SET: 185197.27
SET: 184999.38
SET: 185001.19
SET: 184941.25
SET: 184841.16
SET: 184585.95
SET: 184348.38
SET: 184059.64
SET: 183739.78
SET: 183459.17
SET: 183318.41
SET: 183237.53
SET: 183111.27
SET: 182900.41
SET: 182665.38
SET: 182434.56
SET: 182100.09
SET: 181794.77
SET: 181564.22
SET: 181389.17
SET: 181314.23
SET: 181149.72
SET: 180870.36
SET: 180636.36
SET: 180399.42
SET: 180142.22
SET: 180028.97
SET: 180006.53
SET: 179886.53
SET: 179779.19
SET: 179590.97
SET: 179424.59
SET: 179238.23
SET: 179077.84
SET: 179079.55
SET: 179044.36
SET: 178868.72
SET: 178724.47
SET: 178560.72
SET: 178437.53
SET: 178284.03
SET: 178225.38
SET: 178090.39
SET: 177926.55
SET: 177812.33
SET: 177618.03
SET: 177434.27
SET: 177286.59
SET: 177149.78
SET: 177115.14
SET: 176973.34
SET: 176784.97
SET: 176607.28
SET: 176349.92
SET: 176166.11
SET: 176024.98
SET: 175954.03
SET: 175879.88
SET: 175705.02
SET: 175579.16
SET: 175422.64
SET: 175276.34
SET: 175162.41
SET: 174947.02
SET: 174802.86
SET: 174643.77
SET: 174465.42
SET: 174347.12
SET: 174268.44
SET: 174130.06
SET: 173961.92
SET: 173708.72
SET: 173492.48
SET: 173256.72
SET: 173166.72
SET: 173013.20
SET: 172905.52
SET: 172776.09
SET: 172610.64
SET: 172425.72
SET: 172303.34
SET: 172227.38
SET: 172147.34
SET: 171963.08
SET: 171879.80
SET: 172069.30
SET: 172313.03
SET: 172549.78
SET: 172953.73
====== SET ======
  12000000 requests completed in 69.25 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.34% <= 0.2 milliseconds
3.03% <= 0.3 milliseconds
8.39% <= 0.4 milliseconds
14.41% <= 0.5 milliseconds
20.83% <= 0.6 milliseconds
27.62% <= 0.7 milliseconds
34.98% <= 0.8 milliseconds
42.46% <= 0.9 milliseconds
49.46% <= 1.0 milliseconds
55.86% <= 1.1 milliseconds
61.62% <= 1.2 milliseconds
66.68% <= 1.3 milliseconds
71.04% <= 1.4 milliseconds
74.74% <= 1.5 milliseconds
77.82% <= 1.6 milliseconds
80.42% <= 1.7 milliseconds
82.56% <= 1.8 milliseconds
84.35% <= 1.9 milliseconds
85.85% <= 2 milliseconds
93.61% <= 3 milliseconds
96.61% <= 4 milliseconds
98.07% <= 5 milliseconds
98.82% <= 6 milliseconds
99.24% <= 7 milliseconds
99.51% <= 8 milliseconds
99.65% <= 9 milliseconds
99.76% <= 10 milliseconds
99.82% <= 11 milliseconds
99.88% <= 12 milliseconds
99.91% <= 13 milliseconds
99.95% <= 14 milliseconds
99.96% <= 15 milliseconds
99.97% <= 16 milliseconds
99.98% <= 17 milliseconds
99.99% <= 18 milliseconds
99.99% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 25 milliseconds
100.00% <= 26 milliseconds
100.00% <= 26 milliseconds
173297.70 requests per second


