2023-11-21 23:01:38
SET: 0.00
SET: 299824.72
SET: 266107.78
SET: 248543.28
SET: 242613.38
SET: 230682.64
SET: 226504.98
SET: 225489.42
SET: 222812.61
SET: 223925.38
SET: 222465.22
SET: 216898.25
SET: 214995.33
SET: 218697.81
SET: 219080.78
SET: 221013.59
SET: 222357.25
SET: 223772.41
SET: 223660.69
SET: 223537.14
SET: 220945.84
SET: 217781.84
SET: 214835.55
SET: 212577.80
SET: 211443.62
SET: 210190.31
SET: 211033.69
SET: 211446.17
SET: 212344.94
SET: 213290.31
SET: 214397.66
SET: 214833.11
SET: 214185.92
SET: 213889.03
SET: 214252.12
SET: 214796.44
SET: 215246.56
SET: 215897.12
SET: 215068.19
SET: 214954.28
SET: 214865.27
SET: 215053.73
SET: 215489.77
SET: 215396.00
SET: 213885.88
SET: 213257.17
SET: 212051.03
SET: 210749.34
SET: 209638.86
SET: 208368.30
SET: 207358.62
SET: 206064.05
SET: 205232.19
SET: 204868.70
SET: 205329.39
SET: 205035.80
SET: 204984.25
SET: 204882.95
SET: 205242.30
SET: 205812.42
SET: 206063.34
SET: 206088.75
SET: 205588.36
SET: 205142.86
SET: 205311.20
SET: 205415.91
SET: 205817.52
SET: 206118.48
SET: 205816.30
SET: 205722.56
SET: 205638.20
SET: 205972.45
SET: 206329.81
SET: 206322.45
SET: 206586.00
SET: 206622.72
SET: 206749.70
SET: 206912.41
SET: 206983.27
SET: 207126.75
SET: 207167.22
SET: 206925.80
SET: 207103.33
SET: 206968.28
SET: 206765.25
SET: 206934.27
SET: 206977.84
SET: 206954.31
SET: 207070.77
SET: 207005.06
SET: 207148.19
SET: 206785.66
SET: 207029.14
SET: 206662.94
SET: 206695.50
SET: 206592.83
SET: 206596.48
SET: 206393.81
SET: 206413.11
SET: 206017.19
SET: 205680.31
SET: 205088.41
SET: 204498.06
SET: 203977.50
SET: 203153.55
SET: 202543.83
SET: 201937.75
SET: 201308.05
SET: 200695.02
SET: 200283.20
SET: 199692.08
SET: 199253.25
SET: 198824.91
SET: 198406.62
SET: 197833.94
SET: 197290.92
SET: 196748.98
SET: 196256.16
SET: 195919.17
SET: 195561.94
SET: 195120.12
SET: 194778.81
SET: 194461.94
SET: 194234.91
SET: 194364.56
SET: 194427.75
SET: 194251.30
SET: 194164.41
SET: 194366.45
SET: 194271.59
SET: 194353.94
SET: 194279.89
SET: 194166.06
SET: 194153.25
SET: 194123.86
SET: 193836.70
SET: 193780.22
SET: 193699.86
SET: 193505.81
SET: 193520.05
SET: 193451.70
SET: 193368.45
SET: 193296.73
SET: 193199.06
SET: 193401.48
SET: 193371.56
SET: 193331.50
SET: 193394.59
SET: 193370.30
SET: 193281.38
SET: 193111.20
SET: 192995.23
SET: 192805.47
SET: 192590.39
SET: 192506.52
SET: 192378.56
SET: 192250.83
SET: 192307.02
SET: 192050.94
SET: 191960.61
SET: 191827.50
SET: 191660.92
SET: 191582.77
SET: 191443.52
SET: 191425.69
SET: 191496.52
SET: 191549.02
SET: 191681.95
SET: 191673.77
SET: 191481.03
SET: 191347.88
SET: 191064.78
SET: 190884.14
SET: 190685.92
SET: 190489.36
SET: 190233.16
SET: 190004.59
SET: 189825.47
SET: 189744.89
SET: 189759.25
SET: 189717.92
SET: 189687.62
SET: 189565.69
SET: 189339.86
SET: 189011.39
SET: 188729.42
SET: 188530.09
SET: 188253.30
SET: 188062.17
SET: 187889.30
SET: 187926.19
SET: 187916.22
SET: 187714.84
SET: 187561.58
SET: 187339.25
SET: 187127.23
SET: 186840.61
SET: 186654.17
SET: 186539.64
SET: 186512.14
SET: 186392.22
SET: 186293.89
SET: 186027.80
SET: 185772.27
SET: 185558.16
SET: 185328.80
SET: 185214.03
SET: 185193.97
SET: 185048.66
SET: 184894.34
SET: 184642.16
SET: 184412.50
SET: 184257.94
SET: 184115.62
SET: 183990.16
SET: 183930.62
SET: 183763.70
SET: 183491.75
SET: 183222.16
SET: 182959.81
SET: 182722.66
SET: 182736.66
SET: 182656.64
SET: 182567.69
SET: 182342.50
SET: 182129.75
SET: 181920.08
SET: 181685.95
SET: 181621.83
SET: 181515.45
SET: 181345.14
SET: 181171.88
SET: 180968.30
SET: 180827.31
SET: 180670.23
SET: 180563.14
SET: 180548.58
SET: 180390.22
SET: 180206.73
SET: 179988.58
SET: 179791.20
SET: 179642.70
SET: 179527.05
SET: 179404.78
SET: 179262.44
SET: 179064.41
SET: 178883.19
SET: 178729.69
SET: 178568.06
SET: 178479.66
SET: 178323.75
SET: 178122.50
SET: 177970.12
SET: 177770.22
SET: 177675.11
SET: 177601.92
SET: 177436.98
SET: 177276.94
SET: 177152.03
SET: 176973.08
SET: 176798.44
SET: 176643.53
SET: 176593.05
SET: 176394.92
SET: 176226.36
SET: 176034.11
SET: 175843.80
SET: 175715.91
SET: 175648.56
SET: 175612.34
SET: 175550.97
SET: 175470.95
SET: 175507.77
====== SET ======
  12000016 requests completed in 68.30 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.43% <= 0.2 milliseconds
3.25% <= 0.3 milliseconds
8.66% <= 0.4 milliseconds
14.43% <= 0.5 milliseconds
20.51% <= 0.6 milliseconds
27.24% <= 0.7 milliseconds
34.58% <= 0.8 milliseconds
42.11% <= 0.9 milliseconds
49.46% <= 1.0 milliseconds
56.29% <= 1.1 milliseconds
62.48% <= 1.2 milliseconds
67.85% <= 1.3 milliseconds
72.35% <= 1.4 milliseconds
76.08% <= 1.5 milliseconds
79.13% <= 1.6 milliseconds
81.58% <= 1.7 milliseconds
83.62% <= 1.8 milliseconds
85.28% <= 1.9 milliseconds
86.70% <= 2 milliseconds
94.13% <= 3 milliseconds
96.88% <= 4 milliseconds
98.18% <= 5 milliseconds
98.85% <= 6 milliseconds
99.25% <= 7 milliseconds
99.49% <= 8 milliseconds
99.66% <= 9 milliseconds
99.76% <= 10 milliseconds
99.82% <= 11 milliseconds
99.87% <= 12 milliseconds
99.91% <= 13 milliseconds
99.94% <= 14 milliseconds
99.96% <= 15 milliseconds
99.97% <= 16 milliseconds
99.98% <= 17 milliseconds
99.99% <= 18 milliseconds
99.99% <= 19 milliseconds
99.99% <= 20 milliseconds
100.00% <= 28 milliseconds
100.00% <= 29 milliseconds
100.00% <= 29 milliseconds
175687.97 requests per second


