2023-11-21 23:01:39
SET: 0.00
SET: 298444.44
SET: 261768.94
SET: 244414.91
SET: 245429.14
SET: 234984.03
SET: 226199.73
SET: 225337.91
SET: 227356.62
SET: 226940.08
SET: 223677.19
SET: 219051.22
SET: 215405.92
SET: 217519.83
SET: 220955.75
SET: 222369.30
SET: 223452.67
SET: 222798.58
SET: 223783.34
SET: 223160.45
SET: 220704.09
SET: 217023.02
SET: 214840.33
SET: 212061.86
SET: 209577.34
SET: 207658.52
SET: 208127.88
SET: 209528.48
SET: 209974.03
SET: 209733.09
SET: 210897.08
SET: 211353.77
SET: 211775.33
SET: 211868.31
SET: 212013.64
SET: 212677.86
SET: 212647.52
SET: 213054.09
SET: 212310.28
SET: 211735.36
SET: 211212.30
SET: 211161.34
SET: 210915.73
SET: 211288.00
SET: 210505.17
SET: 209593.75
SET: 208255.53
SET: 207450.86
SET: 206191.17
SET: 205085.16
SET: 203958.80
SET: 202511.94
SET: 201518.17
SET: 200566.05
SET: 199688.78
SET: 200162.66
SET: 200413.09
SET: 200953.55
SET: 201509.55
SET: 201947.06
SET: 202474.41
SET: 202862.42
SET: 203148.77
SET: 203284.52
SET: 203528.38
SET: 203933.88
SET: 204206.00
SET: 204475.75
SET: 204351.75
SET: 203799.67
SET: 203733.14
SET: 203913.34
SET: 204094.31
SET: 204128.27
SET: 203968.91
SET: 203641.02
SET: 203289.16
SET: 203095.83
SET: 203096.34
SET: 203077.42
SET: 202989.86
SET: 203209.47
SET: 203444.39
SET: 203694.44
SET: 203575.17
SET: 203476.16
SET: 203524.97
SET: 203656.23
SET: 203632.91
SET: 203656.05
SET: 203757.50
SET: 203873.94
SET: 203941.30
SET: 204061.67
SET: 204055.23
SET: 204249.75
SET: 204552.73
SET: 204906.47
SET: 204936.69
SET: 204828.47
SET: 204529.84
SET: 204414.80
SET: 203810.30
SET: 203104.44
SET: 202627.84
SET: 201939.97
SET: 201186.92
SET: 200533.72
SET: 199807.08
SET: 199491.03
SET: 198832.66
SET: 198425.16
SET: 198028.31
SET: 197531.86
SET: 197250.44
SET: 196836.91
SET: 196486.41
SET: 195993.03
SET: 195580.86
SET: 194843.66
SET: 194399.70
SET: 194066.62
SET: 193624.78
SET: 192971.83
SET: 192418.59
SET: 192299.92
SET: 192179.84
SET: 191997.73
SET: 192063.67
SET: 191897.19
SET: 191814.64
SET: 191879.73
SET: 191727.67
SET: 191571.14
SET: 191542.39
SET: 191514.05
SET: 191452.38
SET: 191457.06
SET: 191444.56
SET: 191620.48
SET: 191672.27
SET: 191636.97
SET: 191562.78
SET: 191627.52
SET: 191518.48
SET: 191356.95
SET: 191316.70
SET: 191115.06
SET: 191080.88
SET: 191024.84
SET: 190724.56
SET: 190563.70
SET: 190552.75
SET: 190368.38
SET: 190243.25
SET: 190213.95
SET: 190269.02
SET: 190300.78
SET: 190337.41
SET: 190177.02
SET: 190135.56
SET: 189783.70
SET: 189717.27
SET: 189490.70
SET: 189267.28
SET: 189007.50
SET: 188834.53
SET: 188729.84
SET: 188675.48
SET: 188765.09
SET: 188764.92
SET: 188790.73
SET: 188749.25
SET: 188612.66
SET: 188431.89
SET: 188195.12
SET: 187922.73
SET: 187746.77
SET: 187548.89
SET: 187336.80
SET: 187254.19
SET: 187229.17
SET: 187078.70
SET: 186880.78
SET: 186617.28
SET: 186424.69
SET: 186148.25
SET: 185857.16
SET: 185685.11
SET: 185679.92
SET: 185626.52
SET: 185600.94
SET: 185457.44
SET: 185371.41
SET: 185186.41
SET: 185006.06
SET: 184738.72
SET: 184643.80
SET: 184512.22
SET: 184518.95
SET: 184395.70
SET: 184243.62
SET: 184101.11
SET: 183913.09
SET: 183621.80
SET: 183466.17
SET: 183318.88
SET: 183213.62
SET: 183100.30
SET: 182957.64
SET: 182856.66
SET: 182693.48
SET: 182485.25
SET: 182232.44
SET: 182056.38
SET: 181898.50
SET: 181749.73
SET: 181716.05
SET: 181703.50
SET: 181465.27
SET: 181302.72
SET: 181171.88
SET: 180990.09
SET: 180810.86
SET: 180801.67
SET: 180624.25
SET: 180482.47
SET: 180299.97
SET: 180144.88
SET: 179925.11
SET: 179797.03
SET: 179648.20
SET: 179544.91
SET: 179348.52
SET: 179186.03
SET: 179038.12
SET: 178880.23
SET: 178680.91
SET: 178520.88
SET: 178426.22
SET: 178353.67
SET: 178240.47
SET: 178087.00
SET: 177937.16
SET: 177721.73
SET: 177523.73
SET: 177472.98
SET: 177383.56
SET: 177229.39
SET: 177064.00
SET: 176903.64
SET: 176745.84
SET: 176648.39
SET: 176557.64
SET: 176397.02
SET: 176243.80
SET: 176115.75
SET: 176008.09
SET: 175833.25
SET: 175696.30
SET: 175597.41
SET: 175506.62
SET: 175291.12
SET: 175132.42
SET: 175003.62
SET: 174881.22
SET: 174807.69
SET: 174739.98
SET: 174637.12
SET: 174525.39
SET: 174369.62
SET: 174401.22
SET: 174537.06
SET: 174774.80
SET: 174947.12
====== SET ======
  12000016 requests completed in 68.59 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.35% <= 0.2 milliseconds
3.10% <= 0.3 milliseconds
8.66% <= 0.4 milliseconds
14.75% <= 0.5 milliseconds
21.18% <= 0.6 milliseconds
28.16% <= 0.7 milliseconds
35.84% <= 0.8 milliseconds
43.58% <= 0.9 milliseconds
50.92% <= 1.0 milliseconds
57.58% <= 1.1 milliseconds
63.40% <= 1.2 milliseconds
68.38% <= 1.3 milliseconds
72.53% <= 1.4 milliseconds
76.01% <= 1.5 milliseconds
78.93% <= 1.6 milliseconds
81.35% <= 1.7 milliseconds
83.35% <= 1.8 milliseconds
85.00% <= 1.9 milliseconds
86.41% <= 2 milliseconds
93.81% <= 3 milliseconds
96.62% <= 4 milliseconds
98.05% <= 5 milliseconds
98.78% <= 6 milliseconds
99.20% <= 7 milliseconds
99.46% <= 8 milliseconds
99.62% <= 9 milliseconds
99.72% <= 10 milliseconds
99.79% <= 11 milliseconds
99.83% <= 12 milliseconds
99.87% <= 13 milliseconds
99.90% <= 14 milliseconds
99.93% <= 15 milliseconds
99.95% <= 16 milliseconds
99.96% <= 17 milliseconds
99.98% <= 18 milliseconds
99.99% <= 19 milliseconds
99.99% <= 20 milliseconds
100.00% <= 20 milliseconds
174952.86 requests per second


