2023-11-21 23:01:39
SET: 0.00
SET: 277396.81
SET: 256892.44
SET: 234468.09
SET: 234219.56
SET: 225763.58
SET: 223142.48
SET: 223863.02
SET: 221850.14
SET: 224646.25
SET: 221705.16
SET: 216369.05
SET: 213058.94
SET: 215306.48
SET: 217486.72
SET: 218724.22
SET: 221202.11
SET: 220335.78
SET: 219936.94
SET: 219271.34
SET: 217667.12
SET: 214846.05
SET: 212114.08
SET: 210253.34
SET: 208402.33
SET: 206313.03
SET: 207041.97
SET: 207625.75
SET: 208901.06
SET: 210093.72
SET: 210300.78
SET: 211900.48
SET: 212729.86
SET: 213354.97
SET: 214374.23
SET: 214353.05
SET: 214448.30
SET: 214470.31
SET: 214046.25
SET: 213478.39
SET: 213086.69
SET: 213026.70
SET: 213123.34
SET: 213040.78
SET: 211922.64
SET: 210613.39
SET: 209442.28
SET: 208675.22
SET: 207360.12
SET: 206131.27
SET: 204789.77
SET: 203646.22
SET: 202863.77
SET: 202016.73
SET: 201521.16
SET: 201646.38
SET: 201690.64
SET: 201943.64
SET: 202275.02
SET: 202440.20
SET: 202869.81
SET: 203071.72
SET: 203494.78
SET: 203547.48
SET: 203939.08
SET: 203885.42
SET: 204299.75
SET: 204740.36
SET: 205025.61
SET: 204415.27
SET: 204723.02
SET: 204970.80
SET: 204658.56
SET: 204578.19
SET: 204302.14
SET: 204160.03
SET: 203927.45
SET: 203829.17
SET: 203894.89
SET: 203820.14
SET: 203704.11
SET: 203293.22
SET: 203250.38
SET: 203126.91
SET: 202994.20
SET: 203142.55
SET: 203092.59
SET: 203268.92
SET: 203183.16
SET: 203194.48
SET: 203284.66
SET: 203211.03
SET: 203244.19
SET: 203445.11
SET: 203419.30
SET: 203465.42
SET: 203661.02
SET: 203533.73
SET: 203520.56
SET: 203626.09
SET: 203599.47
SET: 203520.53
SET: 203242.97
SET: 202647.84
SET: 202056.77
SET: 201565.17
SET: 200790.73
SET: 200014.92
SET: 199657.14
SET: 199232.62
SET: 198796.06
SET: 198077.22
SET: 197256.50
SET: 196670.00
SET: 196273.70
SET: 195867.89
SET: 195390.56
SET: 194704.27
SET: 194220.22
SET: 193855.47
SET: 193468.30
SET: 193126.86
SET: 192916.19
SET: 192652.08
SET: 192427.27
SET: 192384.22
SET: 192551.86
SET: 192713.05
SET: 192720.70
SET: 192755.50
SET: 192774.03
SET: 192769.33
SET: 192586.55
SET: 192639.33
SET: 192591.62
SET: 192472.22
SET: 192582.00
SET: 192424.02
SET: 192284.80
SET: 192270.11
SET: 192204.28
SET: 192207.14
SET: 192248.44
SET: 192266.81
SET: 192389.67
SET: 192441.42
SET: 192426.81
SET: 192305.66
SET: 192349.36
SET: 192235.06
SET: 191956.33
SET: 191845.72
SET: 191714.09
SET: 191518.38
SET: 191398.86
SET: 191489.73
SET: 191375.02
SET: 191134.16
SET: 190965.75
SET: 190728.09
SET: 190683.52
SET: 190582.72
SET: 190542.14
SET: 190514.22
SET: 190508.45
SET: 190363.56
SET: 190235.00
SET: 190074.48
SET: 189785.41
SET: 189628.69
SET: 189445.25
SET: 189247.88
SET: 188975.34
SET: 188829.52
SET: 188800.33
SET: 188791.38
SET: 188906.00
SET: 188821.81
SET: 188713.44
SET: 188570.73
SET: 188417.38
SET: 188222.72
SET: 188008.17
SET: 187890.78
SET: 187829.36
SET: 187878.05
SET: 187925.78
SET: 187772.89
SET: 187493.45
SET: 187390.05
SET: 187174.61
SET: 186925.28
SET: 186772.58
SET: 186611.03
SET: 186392.34
SET: 186257.86
SET: 186206.41
SET: 185972.98
SET: 185751.61
SET: 185565.53
SET: 185334.83
SET: 185060.61
SET: 184744.19
SET: 184598.84
SET: 184525.89
SET: 184612.80
SET: 184445.23
SET: 184291.17
SET: 184151.19
SET: 184014.38
SET: 183838.08
SET: 183687.53
SET: 183550.45
SET: 183394.72
SET: 183252.98
SET: 183039.88
SET: 182746.47
SET: 182529.39
SET: 182388.94
SET: 182192.70
SET: 182074.67
SET: 181988.94
SET: 181839.33
SET: 181691.83
SET: 181427.50
SET: 181299.58
SET: 181149.30
SET: 180994.30
SET: 181056.53
SET: 181138.03
SET: 181064.55
SET: 181002.67
SET: 180808.25
SET: 180638.53
SET: 180564.09
SET: 180456.03
SET: 180456.12
SET: 180299.52
SET: 180303.95
SET: 180161.27
SET: 180044.34
SET: 179967.77
SET: 179940.30
SET: 179868.67
SET: 179791.27
SET: 179664.80
SET: 179636.28
SET: 179587.55
SET: 179579.16
SET: 179502.41
SET: 179437.80
SET: 179311.55
SET: 179158.50
SET: 179004.67
SET: 178880.75
SET: 178710.91
SET: 178574.23
SET: 178558.97
SET: 178451.66
SET: 178300.53
SET: 178134.53
SET: 177907.92
SET: 177835.16
SET: 177730.12
SET: 177685.66
SET: 177635.53
SET: 177546.61
SET: 177500.73
SET: 177409.28
SET: 177338.23
SET: 177473.55
====== SET ======
  12000008 requests completed in 67.61 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.37% <= 0.2 milliseconds
3.30% <= 0.3 milliseconds
9.28% <= 0.4 milliseconds
15.78% <= 0.5 milliseconds
22.64% <= 0.6 milliseconds
30.11% <= 0.7 milliseconds
38.06% <= 0.8 milliseconds
46.01% <= 0.9 milliseconds
53.37% <= 1.0 milliseconds
59.93% <= 1.1 milliseconds
65.56% <= 1.2 milliseconds
70.27% <= 1.3 milliseconds
74.12% <= 1.4 milliseconds
77.27% <= 1.5 milliseconds
79.87% <= 1.6 milliseconds
82.05% <= 1.7 milliseconds
83.91% <= 1.8 milliseconds
85.48% <= 1.9 milliseconds
86.82% <= 2 milliseconds
94.04% <= 3 milliseconds
96.59% <= 4 milliseconds
97.90% <= 5 milliseconds
98.63% <= 6 milliseconds
99.07% <= 7 milliseconds
99.37% <= 8 milliseconds
99.55% <= 9 milliseconds
99.67% <= 10 milliseconds
99.77% <= 11 milliseconds
99.83% <= 12 milliseconds
99.87% <= 13 milliseconds
99.92% <= 14 milliseconds
99.94% <= 15 milliseconds
99.96% <= 16 milliseconds
99.98% <= 17 milliseconds
99.99% <= 18 milliseconds
99.99% <= 19 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 24 milliseconds
100.00% <= 25 milliseconds
100.00% <= 25 milliseconds
177499.16 requests per second


