2023-11-21 23:01:39
SET: nan
SET: 236192.00
SET: 230390.45
SET: 215755.33
SET: 222235.53
SET: 220230.03
SET: 210960.80
SET: 212480.38
SET: 214042.86
SET: 217063.36
SET: 217818.91
SET: 212549.88
SET: 209269.05
SET: 209897.52
SET: 211490.45
SET: 211447.72
SET: 213443.77
SET: 213926.28
SET: 215513.88
SET: 214885.48
SET: 213224.20
SET: 211935.36
SET: 209542.20
SET: 207888.88
SET: 205828.59
SET: 203794.86
SET: 202314.34
SET: 202785.80
SET: 202898.70
SET: 203428.09
SET: 204319.56
SET: 204431.95
SET: 205730.83
SET: 206113.55
SET: 206341.92
SET: 207209.23
SET: 207157.48
SET: 207771.95
SET: 207991.59
SET: 207174.86
SET: 206616.20
SET: 206985.09
SET: 206901.94
SET: 207812.70
SET: 208602.94
SET: 207443.84
SET: 206508.12
SET: 205628.50
SET: 204512.45
SET: 203482.23
SET: 202238.06
SET: 201119.05
SET: 200341.08
SET: 199423.58
SET: 198726.53
SET: 198476.58
SET: 198537.98
SET: 199529.05
SET: 200073.28
SET: 200790.30
SET: 201081.30
SET: 201508.94
SET: 201937.75
SET: 202224.11
SET: 202322.25
SET: 202593.91
SET: 202529.95
SET: 202546.14
SET: 202161.36
SET: 201832.20
SET: 201992.81
SET: 201999.45
SET: 202116.64
SET: 202127.09
SET: 201997.30
SET: 201532.58
SET: 201561.64
SET: 201678.38
SET: 201696.22
SET: 201811.14
SET: 201714.59
SET: 201225.39
SET: 201123.14
SET: 201006.02
SET: 200743.36
SET: 200825.23
SET: 200989.56
SET: 201084.36
SET: 201046.98
SET: 201050.33
SET: 200950.95
SET: 201321.58
SET: 201319.39
SET: 201242.67
SET: 201342.34
SET: 201176.11
SET: 201241.44
SET: 201348.92
SET: 201163.95
SET: 200914.92
SET: 200575.62
SET: 200032.27
SET: 199843.62
SET: 199716.05
SET: 199365.95
SET: 198779.30
SET: 198255.86
SET: 197713.22
SET: 197132.36
SET: 196655.42
SET: 196045.03
SET: 195326.12
SET: 194469.84
SET: 194043.48
SET: 193651.81
SET: 193201.34
SET: 192742.66
SET: 192302.72
SET: 191934.98
SET: 191677.42
SET: 191274.72
SET: 190997.27
SET: 190734.56
SET: 190305.47
SET: 189919.06
SET: 189702.48
SET: 189636.55
SET: 189551.45
SET: 189444.72
SET: 189661.23
SET: 189596.09
SET: 189619.55
SET: 189648.22
SET: 189333.97
SET: 189234.36
SET: 189062.48
SET: 189140.44
SET: 189232.66
SET: 189248.28
SET: 189511.03
SET: 189506.19
SET: 189493.48
SET: 189365.97
SET: 189349.28
SET: 189276.45
SET: 189114.50
SET: 188908.34
SET: 188860.22
SET: 188627.14
SET: 188507.98
SET: 188486.48
SET: 188488.56
SET: 188325.36
SET: 188111.86
SET: 188034.14
SET: 187921.14
SET: 187891.94
SET: 187830.14
SET: 187931.33
SET: 188008.95
SET: 187929.00
SET: 187958.62
SET: 187701.81
SET: 187546.98
SET: 187392.47
SET: 187335.12
SET: 187111.36
SET: 187013.64
SET: 186779.61
SET: 186836.00
SET: 186749.44
SET: 186775.81
SET: 186597.84
SET: 186533.34
SET: 186416.48
SET: 186243.08
SET: 186034.23
SET: 185804.27
SET: 185537.00
SET: 185357.02
SET: 185315.05
SET: 185399.78
SET: 185345.73
SET: 185243.03
SET: 184984.06
SET: 184888.05
SET: 184754.05
SET: 184653.78
SET: 184524.33
SET: 184565.02
SET: 184413.17
SET: 184517.09
SET: 184478.28
SET: 184412.70
SET: 184330.17
SET: 184132.77
SET: 183877.86
SET: 183629.11
SET: 183524.59
SET: 183389.81
SET: 183367.61
SET: 183465.84
SET: 183350.30
SET: 183151.48
SET: 182962.59
SET: 182724.27
SET: 182458.12
SET: 182381.56
SET: 182210.77
SET: 182148.81
SET: 182206.33
SET: 182108.36
SET: 181956.25
SET: 181810.66
SET: 181622.52
SET: 181437.02
SET: 181199.66
SET: 181159.38
SET: 181035.44
SET: 180858.19
SET: 180638.38
SET: 180528.89
SET: 180391.02
SET: 180328.91
SET: 180149.78
SET: 180023.02
SET: 180078.92
SET: 180030.69
SET: 179908.30
SET: 179818.81
SET: 179725.78
SET: 179576.41
SET: 179489.22
SET: 179463.00
SET: 179411.61
SET: 179271.83
SET: 179104.09
SET: 178990.25
SET: 178911.34
SET: 178700.81
SET: 178610.55
SET: 178444.53
SET: 178290.84
SET: 178208.02
SET: 178104.78
SET: 177926.56
SET: 177817.38
SET: 177699.38
SET: 177635.94
SET: 177530.00
SET: 177423.62
SET: 177368.42
SET: 177246.41
SET: 177183.48
SET: 177101.42
SET: 177010.48
SET: 176930.62
SET: 176857.97
SET: 176872.98
SET: 176767.16
SET: 176734.33
SET: 176696.84
SET: 176614.75
SET: 176450.59
SET: 176355.41
SET: 176189.52
SET: 176085.56
SET: 176015.44
SET: 176093.28
SET: 176118.36
SET: 176338.05
SET: 176589.61
====== SET ======
  12000024 requests completed in 67.91 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.24% <= 0.2 milliseconds
2.96% <= 0.3 milliseconds
8.70% <= 0.4 milliseconds
15.15% <= 0.5 milliseconds
21.99% <= 0.6 milliseconds
29.43% <= 0.7 milliseconds
37.41% <= 0.8 milliseconds
45.39% <= 0.9 milliseconds
52.92% <= 1.0 milliseconds
59.61% <= 1.1 milliseconds
65.30% <= 1.2 milliseconds
70.02% <= 1.3 milliseconds
73.86% <= 1.4 milliseconds
77.04% <= 1.5 milliseconds
79.70% <= 1.6 milliseconds
81.90% <= 1.7 milliseconds
83.78% <= 1.8 milliseconds
85.36% <= 1.9 milliseconds
86.72% <= 2 milliseconds
93.96% <= 3 milliseconds
96.62% <= 4 milliseconds
97.98% <= 5 milliseconds
98.70% <= 6 milliseconds
99.12% <= 7 milliseconds
99.41% <= 8 milliseconds
99.58% <= 9 milliseconds
99.69% <= 10 milliseconds
99.78% <= 11 milliseconds
99.85% <= 12 milliseconds
99.89% <= 13 milliseconds
99.93% <= 14 milliseconds
99.94% <= 15 milliseconds
99.96% <= 16 milliseconds
99.98% <= 17 milliseconds
99.99% <= 18 milliseconds
99.99% <= 19 milliseconds
99.99% <= 20 milliseconds
99.99% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 24 milliseconds
100.00% <= 24 milliseconds
176710.03 requests per second


