2023-11-21 23:01:39
SET: 0.00
SET: 254948.22
SET: 244669.33
SET: 229063.84
SET: 232709.86
SET: 225698.31
SET: 217181.64
SET: 219557.59
SET: 221477.05
SET: 222420.59
SET: 219214.06
SET: 214829.34
SET: 211893.48
SET: 215267.36
SET: 218865.30
SET: 221067.67
SET: 221936.05
SET: 221769.62
SET: 221668.36
SET: 221407.36
SET: 219209.58
SET: 216270.97
SET: 213134.77
SET: 210963.17
SET: 208900.44
SET: 207227.62
SET: 207984.02
SET: 208970.98
SET: 208969.45
SET: 209650.50
SET: 211098.31
SET: 212399.17
SET: 212391.72
SET: 213337.22
SET: 213334.59
SET: 213549.58
SET: 213903.62
SET: 214157.50
SET: 213516.78
SET: 213281.12
SET: 213236.33
SET: 213336.20
SET: 213359.22
SET: 213766.34
SET: 212414.58
SET: 210491.88
SET: 209235.91
SET: 207714.27
SET: 206417.31
SET: 205214.36
SET: 203875.30
SET: 202475.86
SET: 201470.86
SET: 200892.30
SET: 199806.95
SET: 200055.23
SET: 200409.42
SET: 200950.22
SET: 201756.34
SET: 202107.58
SET: 202275.52
SET: 202565.70
SET: 202548.59
SET: 202752.77
SET: 203337.45
SET: 203132.05
SET: 203570.41
SET: 203715.17
SET: 204035.73
SET: 203482.52
SET: 203214.06
SET: 203543.91
SET: 203846.38
SET: 203868.19
SET: 203925.27
SET: 203454.83
SET: 203514.14
SET: 203399.62
SET: 203473.72
SET: 203614.33
SET: 203675.89
SET: 203715.42
SET: 203842.09
SET: 203726.50
SET: 203900.28
SET: 204136.92
SET: 204110.03
SET: 204193.66
SET: 204276.11
SET: 204339.45
SET: 204280.42
SET: 204454.05
SET: 204653.78
SET: 204362.81
SET: 204277.00
SET: 204356.88
SET: 204461.72
SET: 204252.77
SET: 203968.20
SET: 204126.72
SET: 203687.56
SET: 203516.59
SET: 203131.50
SET: 202099.08
SET: 201341.53
SET: 200724.80
SET: 200064.22
SET: 199522.03
SET: 198764.62
SET: 198162.45
SET: 197452.67
SET: 196984.30
SET: 196466.61
SET: 195933.81
SET: 195527.86
SET: 194969.70
SET: 194591.44
SET: 193978.69
SET: 193469.22
SET: 192973.14
SET: 192398.75
SET: 191985.73
SET: 191384.55
SET: 191030.66
SET: 190566.47
SET: 190226.06
SET: 190031.84
SET: 189889.25
SET: 189919.70
SET: 190071.61
SET: 190174.70
SET: 190218.39
SET: 190214.69
SET: 190168.97
SET: 190203.61
SET: 190240.34
SET: 190205.56
SET: 190237.31
SET: 190272.31
SET: 190178.75
SET: 190164.34
SET: 190120.00
SET: 190038.44
SET: 190009.22
SET: 190194.86
SET: 190033.34
SET: 190055.12
SET: 190017.89
SET: 190127.61
SET: 189942.39
SET: 189993.83
SET: 189794.31
SET: 189669.38
SET: 189432.17
SET: 189297.28
SET: 188980.31
SET: 188781.20
SET: 188553.12
SET: 188438.75
SET: 188166.58
SET: 188126.77
SET: 188142.27
SET: 188145.92
SET: 188175.62
SET: 188142.88
SET: 187978.39
SET: 187758.22
SET: 187570.72
SET: 187361.09
SET: 187063.16
SET: 186858.61
SET: 186684.30
SET: 186648.45
SET: 186714.83
SET: 186696.31
SET: 186485.98
SET: 186355.27
SET: 186205.05
SET: 185967.08
SET: 185796.25
SET: 185588.23
SET: 185418.38
SET: 185359.66
SET: 185340.17
SET: 185307.19
SET: 185178.09
SET: 184936.61
SET: 184802.19
SET: 184727.69
SET: 184545.55
SET: 184346.31
SET: 184202.72
SET: 184090.59
SET: 184078.36
SET: 184078.45
SET: 183982.62
SET: 183790.72
SET: 183544.94
SET: 183378.98
SET: 183201.67
SET: 183006.00
SET: 182832.00
SET: 182740.11
SET: 182717.02
SET: 182573.81
SET: 182475.48
SET: 182249.14
SET: 182003.67
SET: 181790.69
SET: 181592.59
SET: 181365.66
SET: 181158.42
SET: 181086.59
SET: 181053.64
SET: 180882.89
SET: 180723.45
SET: 180578.45
SET: 180370.83
SET: 180160.16
SET: 179996.94
SET: 179929.38
SET: 179850.12
SET: 179699.30
SET: 179558.42
SET: 179452.72
SET: 179279.66
SET: 179201.22
SET: 179037.98
SET: 178918.94
SET: 178933.28
SET: 178880.09
SET: 178715.34
SET: 178525.33
SET: 178401.30
SET: 178250.17
SET: 178256.80
SET: 178291.81
SET: 178176.39
SET: 177974.34
SET: 177809.05
SET: 177617.53
SET: 177426.83
SET: 177268.34
SET: 177177.44
SET: 177154.67
SET: 177097.09
SET: 176972.28
SET: 176835.55
SET: 176777.39
SET: 176668.59
SET: 176527.92
SET: 176589.89
SET: 176488.34
SET: 176400.34
SET: 176301.59
SET: 176251.39
SET: 176129.89
SET: 176136.84
SET: 176033.09
SET: 176051.11
SET: 176039.34
SET: 175918.42
SET: 175904.20
SET: 175879.16
SET: 175803.20
SET: 175775.83
SET: 175636.91
SET: 175643.41
SET: 175598.94
SET: 175813.64
SET: 176162.00
SET: 176632.12
====== SET ======
  12000016 requests completed in 67.88 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.32% <= 0.2 milliseconds
3.15% <= 0.3 milliseconds
8.84% <= 0.4 milliseconds
15.18% <= 0.5 milliseconds
21.95% <= 0.6 milliseconds
29.33% <= 0.7 milliseconds
37.20% <= 0.8 milliseconds
45.07% <= 0.9 milliseconds
52.47% <= 1.0 milliseconds
59.06% <= 1.1 milliseconds
64.76% <= 1.2 milliseconds
69.64% <= 1.3 milliseconds
73.71% <= 1.4 milliseconds
77.05% <= 1.5 milliseconds
79.79% <= 1.6 milliseconds
82.07% <= 1.7 milliseconds
84.00% <= 1.8 milliseconds
85.60% <= 1.9 milliseconds
86.96% <= 2 milliseconds
94.01% <= 3 milliseconds
96.58% <= 4 milliseconds
97.93% <= 5 milliseconds
98.62% <= 6 milliseconds
99.04% <= 7 milliseconds
99.34% <= 8 milliseconds
99.56% <= 9 milliseconds
99.71% <= 10 milliseconds
99.80% <= 11 milliseconds
99.86% <= 12 milliseconds
99.90% <= 13 milliseconds
99.93% <= 14 milliseconds
99.94% <= 15 milliseconds
99.95% <= 16 milliseconds
99.96% <= 17 milliseconds
99.98% <= 18 milliseconds
99.99% <= 19 milliseconds
99.99% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 22 milliseconds
176774.97 requests per second


