2023-11-21 23:01:39
SET: nan
SET: 228896.00
SET: 215040.00
SET: 214186.67
SET: 216240.00
SET: 218656.00
SET: 209450.67
SET: 210518.86
SET: 211944.00
SET: 211537.78
SET: 214896.00
SET: 211671.27
SET: 208154.67
SET: 209092.92
SET: 213042.28
SET: 214673.06
SET: 216598.00
SET: 217600.00
SET: 217607.11
SET: 216702.17
SET: 214904.22
SET: 212802.14
SET: 209688.42
SET: 207393.72
SET: 205124.11
SET: 202772.44
SET: 202012.30
SET: 202669.05
SET: 204322.45
SET: 205156.64
SET: 206166.47
SET: 206372.98
SET: 205947.31
SET: 205544.50
SET: 206023.75
SET: 206885.72
SET: 207020.77
SET: 207295.98
SET: 207742.62
SET: 208031.97
SET: 208385.98
SET: 208564.47
SET: 209059.47
SET: 209658.86
SET: 209656.80
SET: 208813.22
SET: 207877.72
SET: 206994.22
SET: 206248.70
SET: 205184.61
SET: 204375.27
SET: 203755.56
SET: 202746.58
SET: 201814.84
SET: 201648.06
SET: 201413.55
SET: 201287.86
SET: 201111.61
SET: 201305.78
SET: 201704.14
SET: 201761.03
SET: 201996.33
SET: 201571.23
SET: 201605.69
SET: 201750.47
SET: 201765.86
SET: 201892.70
SET: 202028.52
SET: 201749.52
SET: 201849.30
SET: 202139.44
SET: 202579.47
SET: 202765.27
SET: 203064.23
SET: 203093.28
SET: 203298.48
SET: 203704.03
SET: 203742.34
SET: 203737.03
SET: 203912.78
SET: 203834.33
SET: 203486.22
SET: 203162.95
SET: 203242.77
SET: 203056.48
SET: 203148.84
SET: 203048.67
SET: 202769.22
SET: 202646.20
SET: 202556.84
SET: 202461.66
SET: 202456.06
SET: 202506.89
SET: 202347.91
SET: 201978.66
SET: 201962.56
SET: 201921.80
SET: 201813.64
SET: 201740.66
SET: 201701.77
SET: 201701.70
SET: 201615.20
SET: 201737.66
SET: 201344.92
SET: 200761.33
SET: 200247.61
SET: 199818.09
SET: 199201.17
SET: 198727.12
SET: 198256.19
SET: 197820.86
SET: 197189.97
SET: 196691.11
SET: 196330.69
SET: 195765.64
SET: 195270.75
SET: 194704.44
SET: 194220.23
SET: 193712.80
SET: 193087.05
SET: 192621.22
SET: 192146.69
SET: 191760.42
SET: 191445.42
SET: 191029.25
SET: 190663.86
SET: 190840.69
SET: 190764.70
SET: 190817.14
SET: 190890.02
SET: 190921.75
SET: 191080.08
SET: 191252.73
SET: 191077.80
SET: 191171.30
SET: 191211.30
SET: 191126.34
SET: 190928.27
SET: 190837.31
SET: 190682.11
SET: 190610.22
SET: 190497.61
SET: 190374.19
SET: 190439.27
SET: 190399.47
SET: 190317.00
SET: 190316.91
SET: 190346.19
SET: 190490.02
SET: 190599.92
SET: 190568.11
SET: 190447.56
SET: 190355.53
SET: 190207.44
SET: 190127.28
SET: 189776.06
SET: 189611.16
SET: 189436.73
SET: 189394.45
SET: 189275.08
SET: 189212.83
SET: 189298.84
SET: 189316.30
SET: 189374.73
SET: 189334.05
SET: 189173.45
SET: 188906.53
SET: 188659.27
SET: 188437.98
SET: 188229.14
SET: 187948.09
SET: 187749.80
SET: 187758.69
SET: 187784.48
SET: 187712.02
SET: 187678.77
SET: 187629.53
SET: 187441.20
SET: 187216.00
SET: 186960.25
SET: 186768.83
SET: 186548.00
SET: 186388.89
SET: 186398.38
SET: 186318.44
SET: 186231.77
SET: 186020.69
SET: 185833.58
SET: 185641.31
SET: 185383.06
SET: 185336.56
SET: 185175.88
SET: 185008.36
SET: 184974.30
SET: 184906.81
SET: 185059.27
SET: 184881.08
SET: 184695.61
SET: 184506.19
SET: 184311.11
SET: 184107.12
SET: 183863.81
SET: 183646.81
SET: 183559.25
SET: 183466.27
SET: 183366.88
SET: 183163.81
SET: 183028.66
SET: 182859.30
SET: 182703.34
SET: 182534.02
SET: 182357.91
SET: 182334.42
SET: 182257.78
SET: 182226.62
SET: 182067.86
SET: 182002.48
SET: 181786.97
SET: 181641.94
SET: 181508.16
SET: 181435.47
SET: 181306.28
SET: 181260.80
SET: 181319.95
SET: 181285.38
SET: 181184.45
SET: 181071.94
SET: 180908.61
SET: 180773.75
SET: 180589.00
SET: 180462.30
SET: 180363.95
SET: 180335.66
SET: 180182.31
SET: 180066.06
SET: 179876.25
SET: 179748.55
SET: 179482.61
SET: 179359.58
SET: 179285.86
SET: 179213.69
SET: 179117.91
SET: 179000.53
SET: 178892.67
SET: 178774.42
SET: 178657.28
SET: 178612.30
SET: 178572.34
SET: 178523.05
SET: 178399.92
SET: 178329.20
SET: 178178.92
SET: 177964.98
SET: 177869.91
SET: 177790.03
SET: 177670.27
SET: 177531.36
SET: 177391.16
SET: 177202.81
SET: 177114.09
SET: 176966.31
SET: 176865.34
SET: 176775.45
SET: 176720.48
SET: 176609.98
SET: 176499.70
SET: 176419.83
SET: 176343.28
SET: 176359.06
SET: 176532.08
SET: 176877.16
====== SET ======
  12000040 requests completed in 67.70 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.24% <= 0.2 milliseconds
2.84% <= 0.3 milliseconds
8.57% <= 0.4 milliseconds
14.94% <= 0.5 milliseconds
21.69% <= 0.6 milliseconds
29.05% <= 0.7 milliseconds
37.04% <= 0.8 milliseconds
45.10% <= 0.9 milliseconds
52.69% <= 1.0 milliseconds
59.48% <= 1.1 milliseconds
65.33% <= 1.2 milliseconds
70.20% <= 1.3 milliseconds
74.20% <= 1.4 milliseconds
77.47% <= 1.5 milliseconds
80.16% <= 1.6 milliseconds
82.40% <= 1.7 milliseconds
84.29% <= 1.8 milliseconds
85.86% <= 1.9 milliseconds
87.21% <= 2 milliseconds
94.14% <= 3 milliseconds
96.61% <= 4 milliseconds
97.88% <= 5 milliseconds
98.63% <= 6 milliseconds
99.09% <= 7 milliseconds
99.34% <= 8 milliseconds
99.55% <= 9 milliseconds
99.70% <= 10 milliseconds
99.79% <= 11 milliseconds
99.84% <= 12 milliseconds
99.90% <= 13 milliseconds
99.94% <= 14 milliseconds
99.96% <= 15 milliseconds
99.98% <= 16 milliseconds
99.98% <= 17 milliseconds
99.99% <= 18 milliseconds
99.99% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 22 milliseconds
177263.66 requests per second


