2023-11-21 22:44:09
SET: 0.00
SET: 578868.56
SET: 451129.75
SET: 379419.44
SET: 345542.44
SET: 329784.16
SET: 313464.72
SET: 304009.12
SET: 288447.53
SET: 275477.78
SET: 266727.41
SET: 267002.91
SET: 269889.41
SET: 268814.25
SET: 268495.72
SET: 267550.09
SET: 265147.16
SET: 260574.67
SET: 255435.06
SET: 250896.70
SET: 247928.05
SET: 244537.48
SET: 244630.81
SET: 245174.83
SET: 244093.27
SET: 243357.84
SET: 244097.16
SET: 244419.30
SET: 245496.64
SET: 245273.42
SET: 245638.16
SET: 245554.41
SET: 245778.20
SET: 246041.16
SET: 246713.67
SET: 246562.22
SET: 246177.61
SET: 243967.16
SET: 242194.36
SET: 240469.77
SET: 238906.47
SET: 237799.95
SET: 236349.80
SET: 234692.45
SET: 233132.89
SET: 231860.03
SET: 232046.58
SET: 232906.20
SET: 233446.92
SET: 233984.50
SET: 234466.70
SET: 235120.77
SET: 235825.08
SET: 236264.22
SET: 236588.78
SET: 236207.50
SET: 235863.00
SET: 235928.22
SET: 235877.08
SET: 236096.45
SET: 236569.61
SET: 236393.08
SET: 236137.17
SET: 236422.23
SET: 236533.03
SET: 236890.31
SET: 237042.03
SET: 236826.06
SET: 236542.61
SET: 236528.73
SET: 236436.22
SET: 236304.89
SET: 236574.22
SET: 236604.03
SET: 236503.41
SET: 236287.36
SET: 236354.89
SET: 236594.88
SET: 236743.44
SET: 236814.17
SET: 236108.92
SET: 235282.12
SET: 234514.06
SET: 233591.92
SET: 232868.72
SET: 232210.69
SET: 231327.36
SET: 230591.88
SET: 230018.89
SET: 229414.89
SET: 228911.34
SET: 228180.95
SET: 227606.92
SET: 226995.70
SET: 226450.55
SET: 225972.33
SET: 225472.52
SET: 224812.52
SET: 224273.73
SET: 224328.45
SET: 224573.61
SET: 224859.52
SET: 224950.78
SET: 224969.81
SET: 225351.58
SET: 225615.53
SET: 225650.67
SET: 225860.89
SET: 226048.55
SET: 225785.98
SET: 225809.02
SET: 225968.97
SET: 226012.78
SET: 226210.33
SET: 226347.47
SET: 226450.80
SET: 226146.23
SET: 226060.41
SET: 226097.16
SET: 226069.33
SET: 226106.19
SET: 226266.12
SET: 226166.83
SET: 226296.38
SET: 226293.34
SET: 226408.81
SET: 226567.86
SET: 226638.55
SET: 226458.23
SET: 226327.48
SET: 226260.16
SET: 226343.23
SET: 226498.22
SET: 226494.59
SET: 226369.09
SET: 226246.86
SET: 226286.78
SET: 226320.28
SET: 226413.55
SET: 226446.34
SET: 226481.64
SET: 226455.44
SET: 226431.17
SET: 226458.02
SET: 226569.31
SET: 226610.27
SET: 226682.42
SET: 226513.66
SET: 226529.09
SET: 226575.23
SET: 226600.92
SET: 226751.23
SET: 226858.95
SET: 226625.20
SET: 226564.77
SET: 226510.27
SET: 226463.64
SET: 226457.94
SET: 226435.52
SET: 226400.30
SET: 226546.59
SET: 226586.02
SET: 226543.02
SET: 226524.67
SET: 226725.16
SET: 226461.92
SET: 226357.70
SET: 226354.89
SET: 226422.36
SET: 226472.56
SET: 226541.17
SET: 226329.39
SET: 226207.08
SET: 226255.70
SET: 226219.78
SET: 226274.72
SET: 226339.94
SET: 226279.20
SET: 226267.97
SET: 226357.41
SET: 226471.70
SET: 226490.05
SET: 226417.22
SET: 226347.75
SET: 226234.33
SET: 226251.88
SET: 226337.09
SET: 226428.08
SET: 226378.78
SET: 226364.00
SET: 226214.88
SET: 226190.56
SET: 226213.47
SET: 225920.36
SET: 225664.39
SET: 225218.86
SET: 224917.84
SET: 224587.09
SET: 224212.86
SET: 223867.77
SET: 223605.59
SET: 223375.12
SET: 223103.09
SET: 222832.80
SET: 222544.78
SET: 222284.36
SET: 221830.89
SET: 221587.72
SET: 221346.25
SET: 221070.88
SET: 220749.86
SET: 220416.11
SET: 220109.95
SET: 219909.19
SET: 219649.94
SET: 219430.58
SET: 219254.09
SET: 219010.28
SET: 218759.17
SET: 218522.33
SET: 218343.59
SET: 218076.92
SET: 217886.55
SET: 217646.53
SET: 217385.27
SET: 217216.97
SET: 217028.80
SET: 216713.14
SET: 216434.45
SET: 216225.77
SET: 216068.53
SET: 215910.03
SET: 215929.58
SET: 215837.38
SET: 215784.11
SET: 215875.64
SET: 215991.06
SET: 215980.03
SET: 216043.12
SET: 215906.36
SET: 215886.23
SET: 215930.22
SET: 216013.88
SET: 215996.06
SET: 215921.25
SET: 215950.16
SET: 215982.59
SET: 215995.08
SET: 215988.66
SET: 215992.81
SET: 216018.30
SET: 215979.88
SET: 215874.00
SET: 215913.94
SET: 215883.56
SET: 215831.61
SET: 215853.88
SET: 215914.53
SET: 215793.17
SET: 215796.19
SET: 215842.11
SET: 215889.02
SET: 215938.38
SET: 216005.47
SET: 215893.55
SET: 215928.69
SET: 215973.80
SET: 215988.62
SET: 216047.48
SET: 216062.52
SET: 215978.33
SET: 216053.33
SET: 216034.09
SET: 216031.03
SET: 216096.86
SET: 216098.83
SET: 215952.05
SET: 215847.88
SET: 215844.73
SET: 215836.70
SET: 215850.53
SET: 215856.86
SET: 215761.11
SET: 215683.66
SET: 215722.94
SET: 215728.28
SET: 215733.03
SET: 215716.58
SET: 215681.38
SET: 215613.11
SET: 215612.67
SET: 215681.91
SET: 215731.84
SET: 215841.00
SET: 215815.56
SET: 215846.42
SET: 215876.11
SET: 215871.69
SET: 215890.45
SET: 215914.67
SET: 215855.80
SET: 215859.78
SET: 215888.95
SET: 215852.69
SET: 215826.36
SET: 215824.72
SET: 215834.06
SET: 215753.05
SET: 215797.34
SET: 215817.67
SET: 215798.25
SET: 215829.02
SET: 215839.81
SET: 215693.23
SET: 215695.44
SET: 215669.70
SET: 215629.16
SET: 215591.91
SET: 215604.05
SET: 215555.38
SET: 215558.36
SET: 215576.67
SET: 215627.33
SET: 215627.30
SET: 215618.19
SET: 215580.70
SET: 215557.36
SET: 215556.08
SET: 215520.88
SET: 215506.31
SET: 215563.91
SET: 215594.97
SET: 215557.67
SET: 215556.78
SET: 215531.22
SET: 215527.36
SET: 215543.62
SET: 215443.83
SET: 215415.88
SET: 215461.27
SET: 215431.72
SET: 215434.78
SET: 215401.19
SET: 215315.97
SET: 215206.42
SET: 215181.19
SET: 215174.77
SET: 215207.38
SET: 215226.47
SET: 215235.09
SET: 215071.66
SET: 215043.69
SET: 215078.30
SET: 215123.66
SET: 215173.09
SET: 215132.19
SET: 215071.12
SET: 215046.31
SET: 215066.12
SET: 215023.48
SET: 215035.25
SET: 215032.44
SET: 215062.31
SET: 215054.42
SET: 215024.78
SET: 215014.83
SET: 214995.50
SET: 214971.27
SET: 214928.02
SET: 214942.36
SET: 214914.61
SET: 214956.06
====== SET ======
  20000104 requests completed in 93.01 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.88% <= 0.2 milliseconds
5.99% <= 0.3 milliseconds
14.36% <= 0.4 milliseconds
22.27% <= 0.5 milliseconds
30.68% <= 0.6 milliseconds
39.53% <= 0.7 milliseconds
48.27% <= 0.8 milliseconds
56.19% <= 0.9 milliseconds
63.03% <= 1.0 milliseconds
68.87% <= 1.1 milliseconds
73.80% <= 1.2 milliseconds
77.85% <= 1.3 milliseconds
81.19% <= 1.4 milliseconds
83.91% <= 1.5 milliseconds
86.12% <= 1.6 milliseconds
87.91% <= 1.7 milliseconds
89.40% <= 1.8 milliseconds
90.63% <= 1.9 milliseconds
91.66% <= 2 milliseconds
96.99% <= 3 milliseconds
98.73% <= 4 milliseconds
99.43% <= 5 milliseconds
99.69% <= 6 milliseconds
99.82% <= 7 milliseconds
99.89% <= 8 milliseconds
99.94% <= 9 milliseconds
99.96% <= 10 milliseconds
99.97% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
215020.20 requests per second


