2023-11-21 22:44:09
SET: nan
SET: 355200.00
SET: 313008.00
SET: 300512.00
SET: 283856.00
SET: 267750.41
SET: 268954.66
SET: 269289.16
SET: 267948.00
SET: 259136.00
SET: 252393.59
SET: 253674.41
SET: 253071.28
SET: 254349.31
SET: 252678.47
SET: 251889.12
SET: 252161.92
SET: 251840.08
SET: 248835.19
SET: 243654.89
SET: 240371.06
SET: 236799.38
SET: 235351.73
SET: 236995.47
SET: 238263.81
SET: 238070.02
SET: 238440.58
SET: 238833.62
SET: 239995.44
SET: 240424.47
SET: 241306.69
SET: 241454.17
SET: 242474.83
SET: 242234.22
SET: 241672.97
SET: 241886.48
SET: 242547.36
SET: 241769.05
SET: 240042.92
SET: 238288.81
SET: 236773.16
SET: 235137.33
SET: 233270.92
SET: 231704.14
SET: 230778.19
SET: 229778.22
SET: 228836.28
SET: 229652.31
SET: 230355.80
SET: 230844.66
SET: 231313.41
SET: 231818.86
SET: 232228.67
SET: 232522.31
SET: 232583.09
SET: 232688.75
SET: 233076.06
SET: 232808.19
SET: 232912.78
SET: 233019.23
SET: 233163.19
SET: 233827.56
SET: 234220.45
SET: 234219.73
SET: 234557.27
SET: 234818.50
SET: 235094.11
SET: 235324.27
SET: 235167.28
SET: 234978.22
SET: 234812.84
SET: 234814.69
SET: 234918.17
SET: 234926.84
SET: 234895.11
SET: 234952.47
SET: 234712.95
SET: 234948.92
SET: 235153.42
SET: 235482.12
SET: 235330.70
SET: 234674.97
SET: 233369.16
SET: 232652.64
SET: 231895.31
SET: 231227.28
SET: 230584.81
SET: 229620.03
SET: 228939.91
SET: 228474.27
SET: 227815.42
SET: 227166.20
SET: 226675.12
SET: 226184.69
SET: 225617.95
SET: 225049.69
SET: 224469.92
SET: 223904.08
SET: 223095.95
SET: 222717.20
SET: 223006.28
SET: 223288.03
SET: 223739.52
SET: 223746.38
SET: 223536.06
SET: 223725.33
SET: 223998.80
SET: 224174.52
SET: 224329.22
SET: 224553.27
SET: 224928.17
SET: 225262.03
SET: 225391.81
SET: 225556.94
SET: 225470.59
SET: 225619.64
SET: 225739.92
SET: 225514.62
SET: 225676.31
SET: 225584.31
SET: 225690.50
SET: 225724.91
SET: 225768.58
SET: 225416.52
SET: 225308.14
SET: 225404.36
SET: 225553.81
SET: 225682.33
SET: 225935.17
SET: 226184.66
SET: 226236.23
SET: 226294.59
SET: 226327.55
SET: 226403.34
SET: 226500.77
SET: 226712.94
SET: 226336.77
SET: 226341.67
SET: 226306.12
SET: 226326.58
SET: 226386.25
SET: 226387.94
SET: 225998.31
SET: 225963.56
SET: 226021.42
SET: 226038.36
SET: 226104.56
SET: 226284.25
SET: 226217.64
SET: 226246.53
SET: 226172.11
SET: 226225.48
SET: 226279.64
SET: 226194.55
SET: 226221.20
SET: 225982.20
SET: 226093.09
SET: 226046.98
SET: 225969.09
SET: 226016.84
SET: 225985.47
SET: 225623.80
SET: 225380.31
SET: 225314.19
SET: 225316.50
SET: 225325.53
SET: 225373.20
SET: 225324.03
SET: 225400.08
SET: 225505.69
SET: 225475.77
SET: 225491.64
SET: 225509.94
SET: 225473.86
SET: 225248.34
SET: 225194.08
SET: 225247.56
SET: 225317.11
SET: 225281.84
SET: 225312.73
SET: 224912.22
SET: 224852.08
SET: 224825.97
SET: 224971.70
SET: 224948.17
SET: 224927.16
SET: 224767.14
SET: 224752.61
SET: 224891.12
SET: 224888.09
SET: 224897.73
SET: 224991.62
SET: 225033.77
SET: 224983.00
SET: 224632.34
SET: 224361.69
SET: 224085.48
SET: 223665.67
SET: 223175.67
SET: 222866.34
SET: 222592.25
SET: 222224.33
SET: 222056.47
SET: 221581.56
SET: 221228.69
SET: 221067.20
SET: 220790.56
SET: 220466.70
SET: 219958.27
SET: 219626.34
SET: 219403.39
SET: 219095.88
SET: 218816.42
SET: 218510.80
SET: 218360.28
SET: 218080.89
SET: 217782.47
SET: 217490.05
SET: 217206.64
SET: 216972.09
SET: 216678.78
SET: 216531.78
SET: 216347.50
SET: 216178.50
SET: 215900.53
SET: 215666.09
SET: 215461.73
SET: 215289.61
SET: 215073.42
SET: 214874.47
SET: 214521.28
SET: 214358.20
SET: 214155.27
SET: 213993.20
SET: 213963.25
SET: 213998.17
SET: 214112.30
SET: 214265.27
SET: 214235.61
SET: 214331.41
SET: 214374.45
SET: 214417.27
SET: 214255.77
SET: 214292.41
SET: 214350.00
SET: 214416.89
SET: 214544.70
SET: 214616.73
SET: 214495.06
SET: 214494.94
SET: 214515.28
SET: 214593.80
SET: 214675.23
SET: 214742.00
SET: 214590.12
SET: 214551.52
SET: 214520.81
SET: 214555.92
SET: 214699.27
SET: 214833.89
SET: 214882.39
SET: 214937.64
SET: 215029.67
SET: 215147.52
SET: 215148.19
SET: 215192.91
SET: 215129.47
SET: 215171.28
SET: 215186.80
SET: 215276.58
SET: 215330.88
SET: 215320.48
SET: 215173.59
SET: 215163.25
SET: 215213.44
SET: 215229.09
SET: 215244.39
SET: 215268.70
SET: 215112.97
SET: 215120.84
SET: 215155.62
SET: 215203.56
SET: 215232.45
SET: 215222.75
SET: 215188.33
SET: 215197.34
SET: 215223.84
SET: 215257.08
SET: 215268.53
SET: 215300.92
SET: 215322.41
SET: 215379.12
SET: 215436.98
SET: 215449.70
SET: 215497.36
SET: 215584.14
SET: 215601.20
SET: 215444.95
SET: 215458.83
SET: 215540.83
SET: 215572.20
SET: 215694.08
SET: 215642.47
SET: 215552.38
SET: 215593.83
SET: 215590.86
SET: 215625.73
SET: 215609.97
SET: 215632.11
SET: 215342.12
SET: 215327.12
SET: 215390.25
SET: 215375.00
SET: 215373.31
SET: 215401.98
SET: 215318.72
SET: 215319.56
SET: 215353.78
SET: 215331.88
SET: 215307.41
SET: 215278.50
SET: 215253.06
SET: 215309.30
SET: 215308.36
SET: 215360.83
SET: 215361.80
SET: 215409.17
SET: 215356.23
SET: 215307.80
SET: 215321.84
SET: 215365.56
SET: 215364.67
SET: 215428.03
SET: 215407.67
SET: 215266.23
SET: 215250.95
SET: 215260.42
SET: 215255.78
SET: 215290.52
SET: 215189.89
SET: 214937.33
SET: 214911.84
SET: 214984.69
SET: 214975.53
SET: 214946.25
SET: 214898.61
SET: 214866.12
SET: 214879.42
SET: 214941.55
SET: 214944.94
SET: 214947.67
SET: 214973.91
SET: 215015.25
SET: 215069.39
SET: 215102.91
SET: 215113.09
SET: 215147.55
SET: 215117.61
SET: 215035.05
SET: 215013.86
SET: 215060.30
SET: 215049.27
SET: 215050.91
SET: 215091.66
SET: 215002.98
SET: 214963.67
SET: 214964.66
SET: 215020.88
SET: 214963.78
SET: 214930.80
SET: 214734.77
SET: 214794.97
====== SET ======
  20000056 requests completed in 93.06 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.31% <= 0.2 milliseconds
6.43% <= 0.3 milliseconds
14.52% <= 0.4 milliseconds
22.41% <= 0.5 milliseconds
30.99% <= 0.6 milliseconds
39.79% <= 0.7 milliseconds
48.25% <= 0.8 milliseconds
55.85% <= 0.9 milliseconds
62.54% <= 1.0 milliseconds
68.33% <= 1.1 milliseconds
73.31% <= 1.2 milliseconds
77.44% <= 1.3 milliseconds
80.87% <= 1.4 milliseconds
83.66% <= 1.5 milliseconds
85.90% <= 1.6 milliseconds
87.74% <= 1.7 milliseconds
89.23% <= 1.8 milliseconds
90.45% <= 1.9 milliseconds
91.49% <= 2 milliseconds
96.95% <= 3 milliseconds
98.75% <= 4 milliseconds
99.43% <= 5 milliseconds
99.69% <= 6 milliseconds
99.82% <= 7 milliseconds
99.88% <= 8 milliseconds
99.92% <= 9 milliseconds
99.94% <= 10 milliseconds
99.96% <= 11 milliseconds
99.97% <= 12 milliseconds
99.98% <= 13 milliseconds
99.98% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
99.99% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 26 milliseconds
100.00% <= 26 milliseconds
214920.33 requests per second


