2023-11-21 22:44:09
SET: 0.00
SET: 380398.44
SET: 313181.66
SET: 297789.62
SET: 276827.16
SET: 259235.80
SET: 259360.86
SET: 255242.02
SET: 254541.45
SET: 248799.28
SET: 243197.44
SET: 242290.69
SET: 244471.67
SET: 244971.70
SET: 245869.25
SET: 248110.84
SET: 250018.50
SET: 249115.45
SET: 245651.36
SET: 242363.16
SET: 237822.11
SET: 234991.06
SET: 232427.41
SET: 233151.19
SET: 234406.39
SET: 234384.39
SET: 235599.02
SET: 237189.22
SET: 237532.83
SET: 237945.41
SET: 238307.03
SET: 238480.27
SET: 239224.39
SET: 239855.59
SET: 240793.98
SET: 240754.86
SET: 241256.34
SET: 240748.56
SET: 238800.62
SET: 237041.11
SET: 235400.70
SET: 233954.17
SET: 232776.62
SET: 231869.86
SET: 230630.81
SET: 229264.16
SET: 228907.88
SET: 229996.25
SET: 230193.86
SET: 230761.41
SET: 231037.50
SET: 231221.89
SET: 231920.67
SET: 232214.20
SET: 232490.94
SET: 232978.56
SET: 232845.17
SET: 232336.08
SET: 232411.89
SET: 232639.61
SET: 232859.22
SET: 233038.08
SET: 232799.53
SET: 233034.59
SET: 233355.22
SET: 233853.98
SET: 233956.73
SET: 234063.59
SET: 234246.33
SET: 234043.11
SET: 233911.59
SET: 234092.34
SET: 233920.70
SET: 234011.83
SET: 233825.61
SET: 233695.86
SET: 233423.59
SET: 233449.98
SET: 233658.56
SET: 233649.31
SET: 233611.75
SET: 233092.95
SET: 232154.41
SET: 231528.12
SET: 230994.02
SET: 230303.94
SET: 229621.34
SET: 229172.00
SET: 228261.25
SET: 227523.62
SET: 227056.05
SET: 226472.59
SET: 225870.19
SET: 225290.66
SET: 224605.14
SET: 224233.92
SET: 223529.72
SET: 222927.69
SET: 222257.03
SET: 221539.19
SET: 221369.14
SET: 221669.64
SET: 222033.22
SET: 222341.33
SET: 222627.83
SET: 222511.81
SET: 222537.92
SET: 222591.08
SET: 222749.17
SET: 222809.33
SET: 222978.28
SET: 223048.25
SET: 223180.36
SET: 223346.92
SET: 223498.78
SET: 223653.56
SET: 223673.92
SET: 223646.09
SET: 223446.69
SET: 223374.22
SET: 223345.59
SET: 223432.64
SET: 223604.77
SET: 223706.77
SET: 223565.75
SET: 223364.33
SET: 223369.62
SET: 223601.95
SET: 223828.12
SET: 224049.31
SET: 224263.91
SET: 224370.75
SET: 224660.56
SET: 224849.38
SET: 225101.94
SET: 225301.27
SET: 225348.81
SET: 225007.30
SET: 224877.44
SET: 225069.59
SET: 225199.89
SET: 225197.06
SET: 225183.69
SET: 224834.89
SET: 224706.08
SET: 224871.23
SET: 224826.94
SET: 224871.56
SET: 224893.06
SET: 224851.45
SET: 224947.02
SET: 224985.02
SET: 225006.52
SET: 225066.39
SET: 224984.53
SET: 224969.92
SET: 224714.48
SET: 224558.42
SET: 224612.36
SET: 224650.14
SET: 224786.56
SET: 224751.69
SET: 224565.86
SET: 224370.34
SET: 224302.58
SET: 224424.39
SET: 224410.86
SET: 224451.86
SET: 224369.80
SET: 224265.25
SET: 224216.48
SET: 224215.22
SET: 224227.53
SET: 224184.08
SET: 224161.16
SET: 223928.73
SET: 223892.44
SET: 223971.81
SET: 224014.38
SET: 224005.36
SET: 224053.64
SET: 223720.17
SET: 223692.02
SET: 223661.02
SET: 223554.06
SET: 223545.94
SET: 223602.88
SET: 223565.16
SET: 223564.39
SET: 223542.00
SET: 223537.17
SET: 223544.61
SET: 223610.61
SET: 223598.05
SET: 223648.42
SET: 223364.23
SET: 223058.80
SET: 222710.03
SET: 222391.28
SET: 221998.75
SET: 221645.17
SET: 221373.38
SET: 221085.64
SET: 220903.25
SET: 220474.97
SET: 220228.38
SET: 219954.52
SET: 219678.06
SET: 219357.98
SET: 218954.06
SET: 218666.83
SET: 218400.06
SET: 218208.81
SET: 218076.70
SET: 217829.59
SET: 217568.11
SET: 217368.56
SET: 217087.16
SET: 216867.88
SET: 216609.28
SET: 216429.64
SET: 216175.80
SET: 215925.25
SET: 215733.16
SET: 215583.47
SET: 215227.48
SET: 214995.77
SET: 214864.39
SET: 214692.38
SET: 214562.23
SET: 214386.22
SET: 214193.45
SET: 214046.48
SET: 213854.64
SET: 213919.31
SET: 214047.75
SET: 214220.64
SET: 214392.59
SET: 214544.45
SET: 214599.91
SET: 214695.53
SET: 214754.55
SET: 214805.80
SET: 214707.28
SET: 214717.55
SET: 214745.75
SET: 214766.70
SET: 214900.25
SET: 214930.98
SET: 214768.20
SET: 214739.09
SET: 214759.66
SET: 214836.27
SET: 214852.52
SET: 214860.94
SET: 214607.33
SET: 214606.06
SET: 214690.86
SET: 214728.41
SET: 214779.97
SET: 214844.56
SET: 214821.66
SET: 214849.09
SET: 214931.89
SET: 214936.42
SET: 214961.91
SET: 214967.25
SET: 214968.36
SET: 214843.58
SET: 214809.72
SET: 214825.27
SET: 214883.64
SET: 214920.06
SET: 214874.83
SET: 214698.14
SET: 214709.16
SET: 214722.06
SET: 214697.45
SET: 214710.77
SET: 214698.31
SET: 214531.77
SET: 214486.34
SET: 214498.50
SET: 214543.92
SET: 214604.78
SET: 214669.30
SET: 214606.75
SET: 214670.77
SET: 214652.83
SET: 214661.25
SET: 214723.42
SET: 214741.55
SET: 214779.47
SET: 214856.55
SET: 214891.86
SET: 214863.09
SET: 214901.08
SET: 214867.62
SET: 214893.09
SET: 214743.75
SET: 214710.95
SET: 214734.48
SET: 214754.86
SET: 214798.44
SET: 214788.09
SET: 214680.70
SET: 214697.56
SET: 214739.30
SET: 214748.06
SET: 214750.34
SET: 214778.20
SET: 214672.12
SET: 214556.77
SET: 214582.02
SET: 214644.17
SET: 214698.14
SET: 214790.19
SET: 214704.33
SET: 214682.25
SET: 214653.20
SET: 214703.77
SET: 214725.84
SET: 214816.89
SET: 214900.64
SET: 214892.69
SET: 214959.06
SET: 214979.91
SET: 214997.20
SET: 215021.83
SET: 215026.16
SET: 214974.06
SET: 214953.88
SET: 215015.98
SET: 215010.48
SET: 214973.22
SET: 214921.30
SET: 214880.16
SET: 214871.53
SET: 214925.95
SET: 214958.36
SET: 214921.45
SET: 214873.69
SET: 214837.70
SET: 214843.14
SET: 214790.62
SET: 214811.47
SET: 214832.08
SET: 214753.81
SET: 214679.66
SET: 214702.95
SET: 214796.27
SET: 214808.98
SET: 214838.17
SET: 214836.92
SET: 214871.47
SET: 214904.55
SET: 214933.94
SET: 215011.34
SET: 215036.53
SET: 214995.56
SET: 214916.47
SET: 214869.23
SET: 214894.62
SET: 214835.64
SET: 214801.52
SET: 214782.62
SET: 214692.91
SET: 214679.39
SET: 214680.62
SET: 214625.19
SET: 214673.41
SET: 214606.81
SET: 214638.58
====== SET ======
  20000000 requests completed in 93.15 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.28% <= 0.2 milliseconds
6.25% <= 0.3 milliseconds
14.16% <= 0.4 milliseconds
22.01% <= 0.5 milliseconds
30.60% <= 0.6 milliseconds
39.55% <= 0.7 milliseconds
48.26% <= 0.8 milliseconds
56.06% <= 0.9 milliseconds
62.83% <= 1.0 milliseconds
68.62% <= 1.1 milliseconds
73.49% <= 1.2 milliseconds
77.52% <= 1.3 milliseconds
80.86% <= 1.4 milliseconds
83.59% <= 1.5 milliseconds
85.81% <= 1.6 milliseconds
87.62% <= 1.7 milliseconds
89.14% <= 1.8 milliseconds
90.41% <= 1.9 milliseconds
91.49% <= 2 milliseconds
96.97% <= 3 milliseconds
98.74% <= 4 milliseconds
99.40% <= 5 milliseconds
99.66% <= 6 milliseconds
99.80% <= 7 milliseconds
99.89% <= 8 milliseconds
99.93% <= 9 milliseconds
99.95% <= 10 milliseconds
99.96% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 17 milliseconds
214698.25 requests per second


