2023-11-21 22:48:50
SET: nan
SET: 496672.00
SET: 396144.00
SET: 353493.34
SET: 305064.00
SET: 291315.19
SET: 286832.00
SET: 284740.56
SET: 275003.50
SET: 264195.28
SET: 259052.33
SET: 260428.62
SET: 260851.14
SET: 259888.11
SET: 260234.08
SET: 258564.34
SET: 257602.39
SET: 256355.42
SET: 251657.19
SET: 247299.95
SET: 243470.81
SET: 240732.39
SET: 240668.59
SET: 241631.41
SET: 242457.14
SET: 242575.03
SET: 242857.23
SET: 242428.30
SET: 242512.92
SET: 242728.41
SET: 242611.97
SET: 241627.23
SET: 240848.05
SET: 241015.14
SET: 241046.42
SET: 241140.78
SET: 240847.16
SET: 240381.05
SET: 238682.52
SET: 237161.19
SET: 236017.98
SET: 234507.08
SET: 233212.67
SET: 231333.77
SET: 229984.92
SET: 228899.20
SET: 228151.89
SET: 228815.38
SET: 229377.97
SET: 228851.95
SET: 229001.20
SET: 228851.80
SET: 228920.91
SET: 228984.39
SET: 229274.11
SET: 229313.19
SET: 229173.44
SET: 229697.05
SET: 229805.64
SET: 229726.28
SET: 229805.19
SET: 230189.78
SET: 229421.53
SET: 229204.56
SET: 229838.34
SET: 229906.03
SET: 230192.12
SET: 230439.72
SET: 230007.41
SET: 230287.94
SET: 230714.88
SET: 230819.97
SET: 230695.55
SET: 230695.44
SET: 230748.50
SET: 230102.12
SET: 229867.89
SET: 229833.77
SET: 229765.59
SET: 229694.62
SET: 229995.59
SET: 229789.39
SET: 229496.58
SET: 228723.09
SET: 227969.92
SET: 227279.97
SET: 226536.16
SET: 225857.20
SET: 225125.36
SET: 224387.67
SET: 223760.52
SET: 223028.02
SET: 222033.11
SET: 221324.28
SET: 220705.70
SET: 220304.45
SET: 219775.66
SET: 219103.80
SET: 218352.66
SET: 217867.97
SET: 217462.05
SET: 216976.77
SET: 216611.05
SET: 216850.39
SET: 216921.83
SET: 216821.08
SET: 216909.55
SET: 217415.08
SET: 217556.25
SET: 217424.33
SET: 217433.48
SET: 217420.00
SET: 217591.50
SET: 217865.52
SET: 217828.97
SET: 217597.56
SET: 217316.39
SET: 217446.17
SET: 217652.58
SET: 217728.17
SET: 217985.88
SET: 218142.58
SET: 218042.45
SET: 218048.94
SET: 217998.64
SET: 218159.64
SET: 218244.78
SET: 218286.05
SET: 218134.03
SET: 217973.97
SET: 218087.70
SET: 218129.39
SET: 218323.06
SET: 218516.89
SET: 218330.59
SET: 218206.03
SET: 218136.44
SET: 217937.39
SET: 217867.52
SET: 217778.41
SET: 217745.14
SET: 217623.00
SET: 217661.36
SET: 217631.86
SET: 217700.92
SET: 217762.64
SET: 217866.62
SET: 217660.75
SET: 217509.45
SET: 217550.41
SET: 217679.08
SET: 217820.25
SET: 217877.45
SET: 217773.02
SET: 217762.95
SET: 217740.25
SET: 217739.31
SET: 217778.14
SET: 217672.33
SET: 217569.91
SET: 217488.77
SET: 217554.39
SET: 217661.86
SET: 217544.95
SET: 217564.20
SET: 217639.81
SET: 217823.73
SET: 217868.36
SET: 217854.19
SET: 217984.16
SET: 218004.05
SET: 218038.16
SET: 217829.42
SET: 217791.31
SET: 217769.81
SET: 217793.89
SET: 217798.23
SET: 217831.62
SET: 217560.12
SET: 217614.00
SET: 217592.08
SET: 217609.42
SET: 217615.70
SET: 217581.38
SET: 217387.17
SET: 217407.86
SET: 217467.69
SET: 217522.27
SET: 217526.08
SET: 217582.64
SET: 217540.48
SET: 217559.72
SET: 217539.44
SET: 217547.53
SET: 217480.22
SET: 217538.73
SET: 217407.70
SET: 217383.52
SET: 217357.80
SET: 217387.14
SET: 217295.94
SET: 216989.44
SET: 216658.89
SET: 216403.12
SET: 216260.22
SET: 215980.81
SET: 215620.12
SET: 215247.62
SET: 215089.66
SET: 214854.12
SET: 214593.39
SET: 214314.38
SET: 213959.69
SET: 213690.89
SET: 213453.92
SET: 213298.14
SET: 213015.62
SET: 212756.91
SET: 212538.08
SET: 212214.41
SET: 212023.47
SET: 211712.16
SET: 211499.84
SET: 211202.56
SET: 210958.73
SET: 210816.53
SET: 210541.64
SET: 210290.70
SET: 209943.56
SET: 209752.75
SET: 209519.66
SET: 209250.94
SET: 208987.30
SET: 208761.44
SET: 208521.41
SET: 208340.00
SET: 208167.45
SET: 208014.58
SET: 207875.47
SET: 207684.47
SET: 207459.19
SET: 207435.19
SET: 207453.11
SET: 207507.31
SET: 207588.47
SET: 207514.59
SET: 207508.64
SET: 207528.09
SET: 207591.75
SET: 207655.02
SET: 207726.09
SET: 207659.92
SET: 207595.69
SET: 207633.42
SET: 207656.25
SET: 207691.58
SET: 207725.64
SET: 207578.42
SET: 207565.81
SET: 207661.67
SET: 207727.53
SET: 207781.86
SET: 207784.77
SET: 207746.78
SET: 207788.06
SET: 207794.17
SET: 207797.83
SET: 207894.62
SET: 207951.44
SET: 207901.00
SET: 207919.25
SET: 207893.36
SET: 207927.47
SET: 207959.12
SET: 207950.17
SET: 207856.66
SET: 207795.20
SET: 207798.83
SET: 207747.81
SET: 207786.88
SET: 207855.00
SET: 207706.81
SET: 207616.25
SET: 207546.55
SET: 207532.39
SET: 207542.22
SET: 207508.38
SET: 207394.80
SET: 207382.48
SET: 207346.56
SET: 207324.78
SET: 207343.58
SET: 207296.78
SET: 207180.30
SET: 207129.36
SET: 207100.25
SET: 207123.69
SET: 207138.19
SET: 207181.50
SET: 207176.44
SET: 207171.83
SET: 207237.34
SET: 207298.30
SET: 207369.08
SET: 207393.98
SET: 207414.41
SET: 207420.41
SET: 207438.02
SET: 207431.75
SET: 207450.55
SET: 207501.41
SET: 207445.14
SET: 207372.12
SET: 207341.55
SET: 207310.05
SET: 207288.89
SET: 207326.77
SET: 207264.45
SET: 207115.27
SET: 207085.47
SET: 207141.17
SET: 207155.39
SET: 207178.47
SET: 207152.80
SET: 207078.55
SET: 207112.56
SET: 207172.94
SET: 207133.83
SET: 207186.67
SET: 207135.41
SET: 207064.30
SET: 207027.23
SET: 206927.47
SET: 206877.80
SET: 206894.36
SET: 206906.16
SET: 206965.44
SET: 206949.53
SET: 206862.33
SET: 206799.19
SET: 206721.95
SET: 206692.52
SET: 206592.39
SET: 206587.08
SET: 206535.14
SET: 206452.09
SET: 206444.09
SET: 206371.64
SET: 206325.98
SET: 206254.83
SET: 206221.64
SET: 206193.56
SET: 206193.61
SET: 206180.06
SET: 206204.25
SET: 206194.20
SET: 206125.64
SET: 206068.64
SET: 206016.44
SET: 205915.98
SET: 205860.94
SET: 205875.53
SET: 205825.06
SET: 205800.48
SET: 205789.77
SET: 205756.50
SET: 205697.34
SET: 205697.25
SET: 205618.20
SET: 205638.27
SET: 205589.02
SET: 205596.88
SET: 205590.36
SET: 205563.56
SET: 205439.06
SET: 205443.25
SET: 205435.50
SET: 205323.41
SET: 205275.34
SET: 205254.02
SET: 205161.38
SET: 205072.75
SET: 205058.16
SET: 204946.80
SET: 204902.95
SET: 204923.36
SET: 204845.44
SET: 204844.03
SET: 204809.72
SET: 204798.11
SET: 204780.98
====== SET ======
  20000232 requests completed in 97.68 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.71% <= 0.2 milliseconds
4.85% <= 0.3 milliseconds
12.31% <= 0.4 milliseconds
19.60% <= 0.5 milliseconds
27.21% <= 0.6 milliseconds
35.33% <= 0.7 milliseconds
43.81% <= 0.8 milliseconds
51.92% <= 0.9 milliseconds
59.26% <= 1.0 milliseconds
65.63% <= 1.1 milliseconds
70.98% <= 1.2 milliseconds
75.39% <= 1.3 milliseconds
79.04% <= 1.4 milliseconds
82.03% <= 1.5 milliseconds
84.49% <= 1.6 milliseconds
86.50% <= 1.7 milliseconds
88.16% <= 1.8 milliseconds
89.53% <= 1.9 milliseconds
90.70% <= 2 milliseconds
96.63% <= 3 milliseconds
98.59% <= 4 milliseconds
99.30% <= 5 milliseconds
99.61% <= 6 milliseconds
99.78% <= 7 milliseconds
99.88% <= 8 milliseconds
99.92% <= 9 milliseconds
99.94% <= 10 milliseconds
99.96% <= 11 milliseconds
99.98% <= 12 milliseconds
99.98% <= 13 milliseconds
99.99% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 22 milliseconds
204752.58 requests per second


