2023-11-21 22:48:50
SET: nan
SET: 390336.00
SET: 322944.00
SET: 305290.66
SET: 285013.97
SET: 269126.91
SET: 265144.38
SET: 263840.28
SET: 263536.69
SET: 255861.52
SET: 248153.36
SET: 245638.34
SET: 245699.08
SET: 245649.67
SET: 245442.92
SET: 245285.03
SET: 245506.48
SET: 246555.70
SET: 245516.86
SET: 240720.22
SET: 236684.25
SET: 233539.09
SET: 230972.56
SET: 230301.30
SET: 231269.94
SET: 231902.80
SET: 233077.33
SET: 233414.06
SET: 234327.47
SET: 234576.98
SET: 235250.09
SET: 234445.91
SET: 234554.41
SET: 234565.23
SET: 234604.58
SET: 234685.86
SET: 234509.16
SET: 234804.36
SET: 233929.53
SET: 232601.00
SET: 231182.17
SET: 230368.33
SET: 228839.44
SET: 227649.34
SET: 226101.20
SET: 225163.36
SET: 223936.05
SET: 223402.56
SET: 223555.62
SET: 223329.31
SET: 223458.44
SET: 223861.47
SET: 224505.38
SET: 224951.89
SET: 225957.97
SET: 226015.41
SET: 225997.72
SET: 226729.48
SET: 227171.44
SET: 227383.28
SET: 227571.55
SET: 227962.27
SET: 227743.17
SET: 227556.41
SET: 227433.94
SET: 227886.86
SET: 227801.38
SET: 227813.41
SET: 227810.03
SET: 227739.56
SET: 227713.58
SET: 228071.17
SET: 228157.88
SET: 228534.62
SET: 228456.73
SET: 227806.86
SET: 227626.20
SET: 227682.55
SET: 227779.25
SET: 227850.05
SET: 228028.58
SET: 227385.94
SET: 227234.33
SET: 226823.61
SET: 226043.12
SET: 225335.91
SET: 224768.59
SET: 224054.77
SET: 223513.80
SET: 222847.34
SET: 222181.12
SET: 221639.84
SET: 221056.22
SET: 220212.48
SET: 219652.02
SET: 219208.69
SET: 218658.34
SET: 218013.19
SET: 217226.20
SET: 216645.36
SET: 216072.91
SET: 215817.33
SET: 215551.42
SET: 215820.58
SET: 216207.22
SET: 216619.06
SET: 216877.12
SET: 217097.22
SET: 217289.86
SET: 217227.58
SET: 217108.30
SET: 217266.50
SET: 217376.53
SET: 217671.92
SET: 217875.75
SET: 217564.19
SET: 217243.73
SET: 217363.92
SET: 217537.95
SET: 217467.56
SET: 217424.70
SET: 217528.66
SET: 217610.48
SET: 217481.22
SET: 217583.50
SET: 217753.19
SET: 217884.62
SET: 217869.80
SET: 217704.11
SET: 217611.61
SET: 217657.02
SET: 217675.12
SET: 217699.98
SET: 217847.55
SET: 217686.33
SET: 217625.78
SET: 217536.19
SET: 217687.17
SET: 217566.53
SET: 217673.27
SET: 217506.05
SET: 217560.22
SET: 217544.97
SET: 217654.23
SET: 217599.23
SET: 217646.20
SET: 217802.03
SET: 217646.67
SET: 217527.11
SET: 217476.52
SET: 217599.05
SET: 217816.52
SET: 217911.86
SET: 217495.62
SET: 217490.91
SET: 217559.06
SET: 217527.56
SET: 217621.91
SET: 217616.91
SET: 217555.06
SET: 217676.05
SET: 217753.44
SET: 217822.95
SET: 217867.36
SET: 217762.20
SET: 217808.70
SET: 217788.17
SET: 217829.56
SET: 217879.39
SET: 217894.77
SET: 217899.80
SET: 217628.98
SET: 217565.02
SET: 217533.61
SET: 217596.33
SET: 217651.52
SET: 217707.17
SET: 217417.02
SET: 217459.89
SET: 217379.00
SET: 217430.12
SET: 217476.91
SET: 217372.55
SET: 217265.12
SET: 217315.55
SET: 217290.30
SET: 217271.00
SET: 217212.20
SET: 217265.80
SET: 217294.62
SET: 217246.25
SET: 217268.00
SET: 217416.42
SET: 217316.00
SET: 217292.25
SET: 217051.84
SET: 216976.34
SET: 217057.89
SET: 217028.81
SET: 217141.73
SET: 217001.75
SET: 216560.97
SET: 216275.70
SET: 215988.19
SET: 215672.47
SET: 215302.12
SET: 214984.27
SET: 214642.91
SET: 214321.58
SET: 214006.55
SET: 213717.94
SET: 213372.08
SET: 213182.69
SET: 212961.14
SET: 212698.36
SET: 212434.44
SET: 212163.92
SET: 211936.28
SET: 211704.86
SET: 211521.03
SET: 211270.14
SET: 210843.50
SET: 210605.75
SET: 210405.41
SET: 210228.41
SET: 209981.08
SET: 209696.45
SET: 209462.66
SET: 209127.14
SET: 208823.31
SET: 208605.38
SET: 208377.02
SET: 208086.55
SET: 207807.08
SET: 207620.72
SET: 207527.50
SET: 207324.12
SET: 207139.73
SET: 206912.42
SET: 206743.88
SET: 206561.53
SET: 206421.17
SET: 206274.03
SET: 206234.56
SET: 206241.12
SET: 206210.59
SET: 206221.89
SET: 206221.70
SET: 206277.47
SET: 206168.30
SET: 206148.64
SET: 206192.31
SET: 206149.23
SET: 206217.08
SET: 206250.53
SET: 206217.89
SET: 206208.98
SET: 206244.56
SET: 206305.64
SET: 206312.42
SET: 206386.22
SET: 206447.56
SET: 206505.22
SET: 206540.44
SET: 206657.27
SET: 206716.38
SET: 206814.23
SET: 206664.31
SET: 206658.09
SET: 206721.09
SET: 206755.06
SET: 206735.83
SET: 206760.69
SET: 206668.48
SET: 206680.22
SET: 206696.88
SET: 206787.09
SET: 206737.67
SET: 206765.09
SET: 206689.55
SET: 206747.67
SET: 206688.06
SET: 206695.77
SET: 206668.73
SET: 206652.83
SET: 206548.83
SET: 206537.69
SET: 206494.09
SET: 206461.47
SET: 206447.31
SET: 206409.77
SET: 206460.08
SET: 206472.50
SET: 206442.83
SET: 206462.70
SET: 206508.45
SET: 206498.70
SET: 206417.19
SET: 206371.97
SET: 206431.09
SET: 206475.00
SET: 206488.23
SET: 206478.73
SET: 206394.80
SET: 206381.45
SET: 206392.22
SET: 206408.53
SET: 206415.28
SET: 206450.11
SET: 206357.14
SET: 206355.83
SET: 206372.22
SET: 206341.45
SET: 206352.38
SET: 206300.28
SET: 206172.19
SET: 206143.67
SET: 206118.97
SET: 206173.84
SET: 206214.84
SET: 206243.00
SET: 206223.06
SET: 206198.98
SET: 206204.56
SET: 206222.44
SET: 206258.98
SET: 206268.73
SET: 206307.08
SET: 206264.47
SET: 206224.69
SET: 206124.16
SET: 206134.84
SET: 206145.47
SET: 206091.31
SET: 206077.69
SET: 206053.64
SET: 205920.77
SET: 205849.14
SET: 205763.55
SET: 205578.84
SET: 205541.67
SET: 205504.98
SET: 205498.72
SET: 205468.25
SET: 205508.52
SET: 205474.48
SET: 205479.84
SET: 205438.08
SET: 205364.30
SET: 205338.95
SET: 205249.70
SET: 205185.02
SET: 205133.23
SET: 205055.66
SET: 205005.44
SET: 204936.86
SET: 204860.58
SET: 204829.86
SET: 204841.88
SET: 204798.38
SET: 204794.39
SET: 204777.03
SET: 204744.42
SET: 204782.45
SET: 204785.00
SET: 204708.73
SET: 204635.77
SET: 204636.30
SET: 204570.27
SET: 204495.59
SET: 204468.67
SET: 204405.61
SET: 204357.77
SET: 204351.14
SET: 204222.81
SET: 204184.44
SET: 204206.58
SET: 204137.58
SET: 204108.03
SET: 204089.77
SET: 204092.23
SET: 204102.73
SET: 204091.58
SET: 204067.12
SET: 204060.53
SET: 204084.55
SET: 204005.05
SET: 203939.34
SET: 203910.98
SET: 203770.08
SET: 203790.25
SET: 203750.39
SET: 203819.31
====== SET ======
  20000008 requests completed in 98.11 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.66% <= 0.2 milliseconds
4.74% <= 0.3 milliseconds
11.86% <= 0.4 milliseconds
18.83% <= 0.5 milliseconds
26.22% <= 0.6 milliseconds
34.28% <= 0.7 milliseconds
42.94% <= 0.8 milliseconds
51.32% <= 0.9 milliseconds
58.74% <= 1.0 milliseconds
65.10% <= 1.1 milliseconds
70.56% <= 1.2 milliseconds
75.12% <= 1.3 milliseconds
78.90% <= 1.4 milliseconds
81.98% <= 1.5 milliseconds
84.50% <= 1.6 milliseconds
86.56% <= 1.7 milliseconds
88.25% <= 1.8 milliseconds
89.64% <= 1.9 milliseconds
90.80% <= 2 milliseconds
96.67% <= 3 milliseconds
98.57% <= 4 milliseconds
99.31% <= 5 milliseconds
99.64% <= 6 milliseconds
99.79% <= 7 milliseconds
99.87% <= 8 milliseconds
99.92% <= 9 milliseconds
99.94% <= 10 milliseconds
99.96% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 19 milliseconds
203854.97 requests per second


