2023-11-21 22:48:50
SET: nan
SET: 453504.00
SET: 350448.00
SET: 311242.66
SET: 286448.00
SET: 270777.59
SET: 264314.66
SET: 266848.00
SET: 268556.00
SET: 259768.89
SET: 252032.00
SET: 253797.81
SET: 252408.00
SET: 253595.08
SET: 252802.28
SET: 252529.06
SET: 251722.00
SET: 251440.94
SET: 247240.89
SET: 241913.27
SET: 238555.20
SET: 236038.09
SET: 234472.84
SET: 234498.88
SET: 234821.27
SET: 234366.88
SET: 235576.20
SET: 236547.91
SET: 236975.02
SET: 237862.41
SET: 238151.14
SET: 236959.12
SET: 237442.94
SET: 237724.81
SET: 237826.48
SET: 238182.75
SET: 238437.50
SET: 239103.73
SET: 237015.80
SET: 235233.30
SET: 233775.75
SET: 232404.84
SET: 231001.72
SET: 229521.98
SET: 228145.72
SET: 227174.98
SET: 226241.22
SET: 225877.86
SET: 226214.52
SET: 226414.75
SET: 226841.06
SET: 226651.00
SET: 226932.12
SET: 227311.27
SET: 227254.12
SET: 226903.12
SET: 227315.58
SET: 227518.91
SET: 228198.78
SET: 228374.28
SET: 228619.62
SET: 228310.11
SET: 228311.31
SET: 228344.44
SET: 228490.47
SET: 228376.64
SET: 228671.86
SET: 228863.28
SET: 228715.81
SET: 228933.02
SET: 228803.19
SET: 228866.22
SET: 228916.38
SET: 229027.81
SET: 228748.56
SET: 228975.69
SET: 228801.27
SET: 228893.05
SET: 228829.52
SET: 228686.64
SET: 228900.34
SET: 228981.23
SET: 229073.81
SET: 228383.81
SET: 227655.02
SET: 226920.41
SET: 225906.45
SET: 225180.52
SET: 224494.69
SET: 223819.94
SET: 223076.67
SET: 222193.67
SET: 221653.06
SET: 220935.44
SET: 220243.28
SET: 219672.09
SET: 218827.92
SET: 218113.59
SET: 217693.08
SET: 217228.52
SET: 216722.12
SET: 216179.22
SET: 215725.97
SET: 215876.42
SET: 216085.17
SET: 216385.89
SET: 216685.17
SET: 216910.11
SET: 216973.34
SET: 216705.61
SET: 216956.50
SET: 217214.25
SET: 217574.59
SET: 217676.12
SET: 217830.58
SET: 218078.83
SET: 218140.59
SET: 218283.56
SET: 218342.81
SET: 218552.64
SET: 218814.03
SET: 218779.69
SET: 218807.77
SET: 219007.25
SET: 219115.31
SET: 219194.94
SET: 219408.42
SET: 219213.14
SET: 219147.84
SET: 219197.08
SET: 219312.97
SET: 219344.33
SET: 219476.95
SET: 219490.75
SET: 219559.70
SET: 219543.77
SET: 219821.30
SET: 219912.58
SET: 219877.98
SET: 219685.19
SET: 219604.30
SET: 219597.12
SET: 219653.78
SET: 219773.59
SET: 219814.69
SET: 219752.23
SET: 219748.45
SET: 219804.55
SET: 219988.22
SET: 220130.80
SET: 220169.58
SET: 220018.31
SET: 219947.72
SET: 219792.98
SET: 219811.14
SET: 219863.31
SET: 219803.11
SET: 219838.89
SET: 219861.67
SET: 219876.33
SET: 219880.41
SET: 219980.84
SET: 220002.67
SET: 220036.59
SET: 219801.23
SET: 219798.95
SET: 219793.42
SET: 219845.02
SET: 220014.95
SET: 220002.00
SET: 219750.50
SET: 219691.00
SET: 219689.08
SET: 219779.41
SET: 219785.81
SET: 219783.38
SET: 219652.53
SET: 219519.36
SET: 219486.84
SET: 219414.36
SET: 219314.22
SET: 219324.02
SET: 219278.98
SET: 219162.02
SET: 219190.55
SET: 219151.55
SET: 219066.70
SET: 219087.08
SET: 218914.20
SET: 218776.47
SET: 218680.41
SET: 218669.91
SET: 218750.44
SET: 218777.28
SET: 218719.47
SET: 218540.23
SET: 218441.47
SET: 218398.25
SET: 218472.39
SET: 218434.09
SET: 218103.28
SET: 217751.75
SET: 217481.25
SET: 217180.80
SET: 216966.69
SET: 216581.53
SET: 216294.31
SET: 215947.02
SET: 215737.75
SET: 215516.41
SET: 215233.84
SET: 214938.52
SET: 214649.73
SET: 214454.02
SET: 214200.52
SET: 213986.25
SET: 213627.12
SET: 213350.58
SET: 213075.83
SET: 212861.84
SET: 212548.80
SET: 212312.66
SET: 212080.80
SET: 211835.77
SET: 211607.83
SET: 211334.45
SET: 211127.17
SET: 210905.92
SET: 210699.81
SET: 210466.58
SET: 210407.77
SET: 210232.08
SET: 209995.03
SET: 209795.88
SET: 209658.94
SET: 209531.08
SET: 209370.28
SET: 209088.33
SET: 208866.66
SET: 208658.61
SET: 208700.77
SET: 208769.36
SET: 208902.67
SET: 208906.86
SET: 208875.09
SET: 209026.31
SET: 209057.38
SET: 209159.22
SET: 209187.42
SET: 209115.36
SET: 209171.02
SET: 209152.97
SET: 209249.39
SET: 209260.62
SET: 209260.95
SET: 209278.20
SET: 209290.20
SET: 209308.81
SET: 209349.61
SET: 209342.55
SET: 209310.58
SET: 209285.47
SET: 209180.48
SET: 209217.83
SET: 209264.45
SET: 209209.38
SET: 209219.70
SET: 209186.03
SET: 209067.20
SET: 209039.94
SET: 209055.70
SET: 209120.72
SET: 209094.38
SET: 209127.27
SET: 209006.58
SET: 208961.52
SET: 208965.67
SET: 208983.66
SET: 208928.59
SET: 208917.14
SET: 208779.66
SET: 208789.14
SET: 208792.36
SET: 208809.67
SET: 208921.98
SET: 208995.16
SET: 208965.52
SET: 208946.34
SET: 208964.48
SET: 208934.38
SET: 208948.80
SET: 208919.17
SET: 208777.17
SET: 208828.75
SET: 208852.03
SET: 208875.17
SET: 208857.30
SET: 208800.58
SET: 208698.77
SET: 208739.94
SET: 208772.33
SET: 208750.64
SET: 208724.66
SET: 208658.31
SET: 208637.12
SET: 208661.97
SET: 208630.03
SET: 208666.41
SET: 208661.14
SET: 208620.61
SET: 208593.95
SET: 208607.17
SET: 208642.31
SET: 208615.03
SET: 208551.17
SET: 208504.25
SET: 208481.52
SET: 208460.73
SET: 208411.62
SET: 208350.59
SET: 208338.41
SET: 208341.23
SET: 208332.05
SET: 208290.62
SET: 208275.52
SET: 208301.62
SET: 208319.14
SET: 208267.12
SET: 208223.81
SET: 208253.27
SET: 208243.77
SET: 208191.27
SET: 208179.03
SET: 208086.80
SET: 208024.50
SET: 208027.20
SET: 207958.42
SET: 207911.95
SET: 207911.94
SET: 207813.81
SET: 207718.25
SET: 207664.14
SET: 207593.98
SET: 207543.61
SET: 207478.58
SET: 207506.12
SET: 207494.53
SET: 207447.61
SET: 207322.05
SET: 207246.30
SET: 207237.48
SET: 207150.30
SET: 207102.39
SET: 207056.58
SET: 206985.20
SET: 206908.89
SET: 206851.06
SET: 206725.22
SET: 206675.45
SET: 206662.22
SET: 206588.48
SET: 206561.75
SET: 206579.50
SET: 206559.80
SET: 206532.05
SET: 206506.89
SET: 206361.67
SET: 206369.53
SET: 206367.27
SET: 206234.27
SET: 206155.64
SET: 206159.67
SET: 206104.36
SET: 205991.91
SET: 205948.42
SET: 205759.23
SET: 205731.02
SET: 205724.12
SET: 205619.78
SET: 205601.09
SET: 205601.67
SET: 205619.41
SET: 205608.39
SET: 205568.14
SET: 205445.34
SET: 205404.89
SET: 205450.05
SET: 205335.42
SET: 205328.69
SET: 205283.52
====== SET ======
  20000048 requests completed in 97.46 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.52% <= 0.2 milliseconds
4.57% <= 0.3 milliseconds
12.42% <= 0.4 milliseconds
19.99% <= 0.5 milliseconds
27.68% <= 0.6 milliseconds
35.63% <= 0.7 milliseconds
44.10% <= 0.8 milliseconds
52.26% <= 0.9 milliseconds
59.61% <= 1.0 milliseconds
65.95% <= 1.1 milliseconds
71.25% <= 1.2 milliseconds
75.58% <= 1.3 milliseconds
79.16% <= 1.4 milliseconds
82.12% <= 1.5 milliseconds
84.59% <= 1.6 milliseconds
86.65% <= 1.7 milliseconds
88.35% <= 1.8 milliseconds
89.73% <= 1.9 milliseconds
90.86% <= 2 milliseconds
96.60% <= 3 milliseconds
98.58% <= 4 milliseconds
99.33% <= 5 milliseconds
99.67% <= 6 milliseconds
99.82% <= 7 milliseconds
99.89% <= 8 milliseconds
99.93% <= 9 milliseconds
99.95% <= 10 milliseconds
99.97% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 19 milliseconds
205212.89 requests per second


