2023-11-21 22:48:51
SET: 0.00
SET: 399872.53
SET: 322299.41
SET: 292282.28
SET: 274669.31
SET: 258014.38
SET: 261729.50
SET: 264301.38
SET: 262917.06
SET: 252628.77
SET: 246980.00
SET: 246575.58
SET: 247200.53
SET: 249451.41
SET: 250087.94
SET: 250663.11
SET: 250098.95
SET: 249616.19
SET: 245954.69
SET: 241858.59
SET: 236438.23
SET: 233964.97
SET: 230419.78
SET: 229268.91
SET: 229309.36
SET: 229350.41
SET: 230164.55
SET: 230380.58
SET: 231697.28
SET: 233875.09
SET: 234298.83
SET: 234593.06
SET: 233110.58
SET: 233170.95
SET: 233521.34
SET: 233630.89
SET: 234154.12
SET: 234013.39
SET: 233360.53
SET: 231556.52
SET: 230251.98
SET: 229156.06
SET: 228027.80
SET: 226589.09
SET: 225172.14
SET: 224331.83
SET: 223031.72
SET: 221946.09
SET: 222094.77
SET: 221728.36
SET: 221297.95
SET: 222006.75
SET: 222735.42
SET: 223354.00
SET: 223708.73
SET: 223854.11
SET: 224137.59
SET: 225212.09
SET: 225766.70
SET: 225882.95
SET: 226642.33
SET: 227009.95
SET: 226632.47
SET: 227027.66
SET: 227348.03
SET: 227390.08
SET: 227271.95
SET: 227512.73
SET: 227495.45
SET: 227530.55
SET: 227397.06
SET: 227758.03
SET: 227676.16
SET: 227891.62
SET: 227413.20
SET: 227264.19
SET: 227377.73
SET: 227493.33
SET: 227520.31
SET: 227657.48
SET: 227424.00
SET: 227255.89
SET: 227498.47
SET: 227261.09
SET: 226702.44
SET: 226004.61
SET: 225256.81
SET: 224680.55
SET: 223879.03
SET: 223261.50
SET: 222595.92
SET: 221771.73
SET: 221127.39
SET: 220465.25
SET: 219901.88
SET: 219159.88
SET: 218537.56
SET: 217779.75
SET: 217213.83
SET: 216631.95
SET: 216132.34
SET: 215671.44
SET: 215322.98
SET: 215426.09
SET: 215383.41
SET: 215583.81
SET: 215832.92
SET: 216200.17
SET: 216320.27
SET: 216106.12
SET: 216171.69
SET: 216522.81
SET: 216587.48
SET: 216813.05
SET: 216919.45
SET: 216566.05
SET: 216792.05
SET: 216712.91
SET: 216730.42
SET: 216769.95
SET: 216813.88
SET: 216899.88
SET: 216981.56
SET: 217063.77
SET: 217144.62
SET: 217190.70
SET: 217330.42
SET: 217524.05
SET: 217276.69
SET: 217371.61
SET: 217410.69
SET: 217396.03
SET: 217488.38
SET: 217639.41
SET: 217376.27
SET: 217124.11
SET: 217011.75
SET: 217112.16
SET: 217401.50
SET: 217554.69
SET: 217484.02
SET: 217461.48
SET: 217600.89
SET: 217759.81
SET: 217743.61
SET: 217821.28
SET: 217904.92
SET: 217627.56
SET: 217635.16
SET: 217589.44
SET: 217712.47
SET: 217871.08
SET: 217957.58
SET: 217635.19
SET: 217715.70
SET: 217743.78
SET: 217814.98
SET: 217901.16
SET: 218041.69
SET: 217905.83
SET: 217804.83
SET: 217779.33
SET: 217875.89
SET: 217913.42
SET: 217902.94
SET: 217976.61
SET: 218009.39
SET: 218043.12
SET: 218133.16
SET: 218205.28
SET: 218312.67
SET: 218079.50
SET: 218132.30
SET: 218178.73
SET: 218228.33
SET: 218273.69
SET: 218272.78
SET: 217995.00
SET: 217929.92
SET: 217891.30
SET: 217869.25
SET: 217943.36
SET: 217954.25
SET: 217758.22
SET: 217743.47
SET: 217853.97
SET: 217881.98
SET: 218014.16
SET: 218009.06
SET: 217970.36
SET: 217939.31
SET: 217947.88
SET: 217971.05
SET: 217974.25
SET: 217940.80
SET: 217816.94
SET: 217787.78
SET: 217761.67
SET: 217725.34
SET: 217737.08
SET: 217621.95
SET: 217278.48
SET: 216944.75
SET: 216611.92
SET: 216301.33
SET: 215928.27
SET: 215614.53
SET: 215284.20
SET: 215035.75
SET: 214752.64
SET: 214522.47
SET: 214274.64
SET: 213939.11
SET: 213673.61
SET: 213394.67
SET: 213124.19
SET: 212866.52
SET: 212529.59
SET: 212235.94
SET: 211982.19
SET: 211812.27
SET: 211616.83
SET: 211359.20
SET: 211097.67
SET: 210926.73
SET: 210645.92
SET: 210467.17
SET: 210236.48
SET: 209896.62
SET: 209686.36
SET: 209520.17
SET: 209287.44
SET: 209111.72
SET: 208869.31
SET: 208547.70
SET: 208413.42
SET: 208327.14
SET: 208203.28
SET: 208000.67
SET: 207849.92
SET: 207704.56
SET: 207643.17
SET: 207747.69
SET: 207797.02
SET: 207668.00
SET: 207723.25
SET: 207770.64
SET: 207864.36
SET: 207984.80
SET: 208123.00
SET: 208011.50
SET: 208016.30
SET: 207987.31
SET: 208069.38
SET: 208177.22
SET: 208260.27
SET: 208056.70
SET: 207987.69
SET: 207998.03
SET: 208064.08
SET: 208129.36
SET: 208177.86
SET: 208127.41
SET: 208137.38
SET: 208099.31
SET: 208169.03
SET: 208246.03
SET: 208269.06
SET: 208281.16
SET: 208332.64
SET: 208263.56
SET: 208281.34
SET: 208256.09
SET: 208289.00
SET: 208202.08
SET: 208189.59
SET: 208202.69
SET: 208256.44
SET: 208269.66
SET: 208340.77
SET: 208267.97
SET: 208271.22
SET: 208297.58
SET: 208307.03
SET: 208351.98
SET: 208399.31
SET: 208258.55
SET: 208184.12
SET: 208165.84
SET: 208153.98
SET: 208215.08
SET: 208235.86
SET: 208103.47
SET: 208040.81
SET: 208046.88
SET: 207997.30
SET: 208018.47
SET: 208107.42
SET: 208200.30
SET: 208213.42
SET: 208253.20
SET: 208314.38
SET: 208384.58
SET: 208374.12
SET: 208318.53
SET: 208336.47
SET: 208332.64
SET: 208347.28
SET: 208444.45
SET: 208453.36
SET: 208337.72
SET: 208264.27
SET: 208254.72
SET: 208296.19
SET: 208271.22
SET: 208224.69
SET: 208084.56
SET: 208066.45
SET: 208078.61
SET: 208025.25
SET: 207977.72
SET: 207933.47
SET: 207813.34
SET: 207778.30
SET: 207774.83
SET: 207761.66
SET: 207709.23
SET: 207712.56
SET: 207684.50
SET: 207674.47
SET: 207673.81
SET: 207560.14
SET: 207566.28
SET: 207519.39
SET: 207411.05
SET: 207385.41
SET: 207398.08
SET: 207296.28
SET: 207254.38
SET: 207259.39
SET: 207149.86
SET: 207165.02
SET: 207205.97
SET: 207224.31
SET: 207239.48
SET: 207223.89
SET: 207232.98
SET: 207180.38
SET: 207150.69
SET: 207115.38
SET: 207070.86
SET: 207112.22
SET: 207064.69
SET: 207053.66
SET: 207067.44
SET: 206973.89
SET: 206903.31
SET: 206917.58
SET: 206862.11
SET: 206829.95
SET: 206858.59
SET: 206825.62
SET: 206803.25
SET: 206812.38
SET: 206834.59
SET: 206840.08
SET: 206845.08
SET: 206720.08
SET: 206733.89
SET: 206705.97
SET: 206619.09
SET: 206607.73
SET: 206592.56
SET: 206552.14
SET: 206589.17
SET: 206509.98
SET: 206482.56
SET: 206474.55
SET: 206402.20
SET: 206351.34
SET: 206341.38
SET: 206322.48
SET: 206316.83
SET: 206312.70
SET: 206225.27
SET: 206192.75
SET: 206182.19
SET: 206091.55
====== SET ======
  20000016 requests completed in 97.06 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.63% <= 0.2 milliseconds
4.90% <= 0.3 milliseconds
12.67% <= 0.4 milliseconds
20.18% <= 0.5 milliseconds
27.93% <= 0.6 milliseconds
36.04% <= 0.7 milliseconds
44.51% <= 0.8 milliseconds
52.61% <= 0.9 milliseconds
59.89% <= 1.0 milliseconds
66.17% <= 1.1 milliseconds
71.47% <= 1.2 milliseconds
75.83% <= 1.3 milliseconds
79.45% <= 1.4 milliseconds
82.45% <= 1.5 milliseconds
84.89% <= 1.6 milliseconds
86.88% <= 1.7 milliseconds
88.49% <= 1.8 milliseconds
89.83% <= 1.9 milliseconds
90.95% <= 2 milliseconds
96.65% <= 3 milliseconds
98.55% <= 4 milliseconds
99.32% <= 5 milliseconds
99.64% <= 6 milliseconds
99.79% <= 7 milliseconds
99.87% <= 8 milliseconds
99.92% <= 9 milliseconds
99.94% <= 10 milliseconds
99.96% <= 11 milliseconds
99.97% <= 12 milliseconds
99.98% <= 13 milliseconds
99.98% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
99.99% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 21 milliseconds
206068.89 requests per second


