2023-11-21 22:48:51
SET: 0.00
SET: 290103.59
SET: 277988.03
SET: 258695.08
SET: 250677.31
SET: 239099.05
SET: 238753.67
SET: 235904.22
SET: 237777.55
SET: 236321.05
SET: 231332.53
SET: 227661.70
SET: 229422.95
SET: 232176.95
SET: 233686.72
SET: 234647.50
SET: 235422.02
SET: 237136.02
SET: 237440.42
SET: 233685.09
SET: 229540.44
SET: 226272.69
SET: 223848.98
SET: 222023.28
SET: 223775.02
SET: 224723.44
SET: 226567.53
SET: 228024.27
SET: 229601.95
SET: 231309.00
SET: 231991.48
SET: 232440.27
SET: 231473.66
SET: 231391.77
SET: 231672.84
SET: 231778.98
SET: 231866.81
SET: 232349.89
SET: 232381.91
SET: 231106.55
SET: 229964.44
SET: 228557.50
SET: 227178.23
SET: 226107.03
SET: 225330.67
SET: 224191.05
SET: 222934.86
SET: 221687.86
SET: 221300.48
SET: 221387.48
SET: 221011.98
SET: 221184.58
SET: 221502.39
SET: 222011.00
SET: 222699.03
SET: 223304.95
SET: 223545.67
SET: 223836.27
SET: 224187.92
SET: 224740.56
SET: 225444.23
SET: 225648.00
SET: 224995.55
SET: 224371.91
SET: 224495.47
SET: 224648.19
SET: 224587.48
SET: 224682.73
SET: 224808.52
SET: 224543.88
SET: 224468.48
SET: 224542.94
SET: 224673.47
SET: 224547.78
SET: 224426.34
SET: 224446.67
SET: 223774.97
SET: 223821.91
SET: 223915.98
SET: 223898.03
SET: 223715.50
SET: 223769.53
SET: 223650.31
SET: 223664.92
SET: 223875.55
SET: 223009.36
SET: 222550.25
SET: 222017.19
SET: 221394.84
SET: 220795.83
SET: 220288.97
SET: 219812.22
SET: 219314.19
SET: 218392.23
SET: 217798.83
SET: 217159.02
SET: 216673.97
SET: 215976.61
SET: 215187.48
SET: 214647.08
SET: 214134.75
SET: 213570.19
SET: 213090.66
SET: 212768.78
SET: 212523.17
SET: 212746.55
SET: 213030.55
SET: 213372.28
SET: 213499.30
SET: 213647.47
SET: 213716.50
SET: 213325.19
SET: 213525.73
SET: 213709.72
SET: 213784.48
SET: 214153.47
SET: 214384.91
SET: 214301.95
SET: 214200.11
SET: 214409.47
SET: 214623.06
SET: 214791.39
SET: 214810.72
SET: 214795.95
SET: 214993.88
SET: 215142.09
SET: 215265.38
SET: 215400.56
SET: 215402.00
SET: 215434.14
SET: 215220.83
SET: 215304.39
SET: 215497.14
SET: 215509.61
SET: 215568.14
SET: 215482.28
SET: 215143.09
SET: 215112.70
SET: 215318.84
SET: 215411.41
SET: 215546.47
SET: 215530.62
SET: 215605.53
SET: 215643.16
SET: 215796.61
SET: 215984.11
SET: 215969.98
SET: 216077.42
SET: 215955.06
SET: 215938.20
SET: 215938.41
SET: 216050.81
SET: 216053.64
SET: 216139.59
SET: 215941.03
SET: 215819.92
SET: 215904.30
SET: 215969.66
SET: 216082.36
SET: 215984.92
SET: 215824.16
SET: 215689.62
SET: 215794.36
SET: 215904.88
SET: 215848.14
SET: 215814.95
SET: 215839.95
SET: 215884.75
SET: 215968.22
SET: 215938.72
SET: 216003.02
SET: 215994.97
SET: 216083.28
SET: 215882.09
SET: 215828.39
SET: 215901.72
SET: 216003.08
SET: 215961.34
SET: 215899.23
SET: 215605.81
SET: 215430.03
SET: 215383.22
SET: 215379.58
SET: 215367.06
SET: 215340.80
SET: 215240.17
SET: 215277.78
SET: 215256.69
SET: 215245.33
SET: 215241.53
SET: 215253.77
SET: 215225.03
SET: 215229.58
SET: 215287.58
SET: 215194.84
SET: 215225.19
SET: 215208.12
SET: 215100.33
SET: 214960.36
SET: 214967.03
SET: 214968.34
SET: 214951.84
SET: 214866.03
SET: 214490.64
SET: 214108.77
SET: 213848.80
SET: 213458.67
SET: 213253.59
SET: 213020.72
SET: 212566.73
SET: 212301.28
SET: 212028.48
SET: 211704.89
SET: 211477.53
SET: 211124.80
SET: 210932.14
SET: 210713.30
SET: 210511.05
SET: 210263.09
SET: 209893.66
SET: 209709.38
SET: 209462.52
SET: 209314.95
SET: 209139.03
SET: 208894.17
SET: 208665.70
SET: 208545.48
SET: 208328.88
SET: 208133.92
SET: 207834.28
SET: 207581.88
SET: 207377.61
SET: 207170.12
SET: 206931.50
SET: 206772.52
SET: 206576.11
SET: 206384.62
SET: 206253.30
SET: 206104.14
SET: 205885.05
SET: 205634.22
SET: 205469.84
SET: 205321.75
SET: 205174.22
SET: 205158.66
SET: 205246.33
SET: 205209.17
SET: 205254.16
SET: 205341.28
SET: 205328.84
SET: 205339.00
SET: 205428.19
SET: 205311.89
SET: 205336.28
SET: 205354.56
SET: 205373.45
SET: 205454.27
SET: 205469.52
SET: 205416.98
SET: 205525.70
SET: 205539.27
SET: 205546.25
SET: 205682.64
SET: 205761.34
SET: 205771.28
SET: 205816.11
SET: 205863.27
SET: 205905.27
SET: 205928.47
SET: 205953.41
SET: 205903.66
SET: 205871.52
SET: 205971.61
SET: 206088.55
SET: 206077.39
SET: 206133.27
SET: 206091.14
SET: 206075.52
SET: 206126.27
SET: 206167.92
SET: 206102.41
SET: 206089.92
SET: 206025.72
SET: 206010.20
SET: 205970.59
SET: 205990.83
SET: 206023.00
SET: 206043.38
SET: 205908.61
SET: 205801.03
SET: 205782.92
SET: 205731.42
SET: 205808.50
SET: 205804.19
SET: 205907.45
SET: 205944.45
SET: 206009.84
SET: 206069.75
SET: 206120.64
SET: 206177.50
SET: 206117.27
SET: 206097.17
SET: 206128.25
SET: 206080.08
SET: 206027.80
SET: 206045.30
SET: 205968.41
SET: 205890.44
SET: 205887.62
SET: 205917.23
SET: 206030.08
SET: 206065.73
SET: 206123.38
SET: 206073.19
SET: 206100.70
SET: 206103.27
SET: 206112.98
SET: 206111.06
SET: 206078.91
SET: 205970.75
SET: 205940.42
SET: 205956.52
SET: 205980.44
SET: 205927.98
SET: 205943.75
SET: 205911.70
SET: 205980.67
SET: 205928.19
SET: 205911.97
SET: 205956.61
SET: 205985.17
SET: 206028.34
SET: 206035.62
SET: 206080.03
SET: 206076.11
SET: 206039.69
SET: 206054.36
SET: 205979.00
SET: 205956.89
SET: 205988.75
SET: 205962.41
SET: 205968.00
SET: 206004.89
SET: 205840.52
SET: 205855.80
SET: 205854.33
SET: 205842.88
SET: 205850.64
SET: 205835.69
SET: 205705.75
SET: 205686.34
SET: 205706.05
SET: 205635.78
SET: 205604.61
SET: 205611.64
SET: 205513.45
SET: 205503.19
SET: 205489.03
SET: 205478.98
SET: 205471.58
SET: 205392.62
SET: 205327.03
SET: 205295.81
SET: 205278.33
SET: 205262.53
SET: 205262.75
SET: 205229.73
SET: 205261.00
SET: 205309.56
SET: 205301.67
SET: 205321.23
SET: 205317.94
SET: 205185.48
SET: 205171.25
SET: 205199.16
SET: 205147.88
SET: 205038.05
SET: 204995.86
SET: 204949.92
SET: 204901.62
SET: 204901.19
SET: 204822.62
SET: 204775.70
SET: 204764.33
SET: 204692.33
SET: 204664.78
SET: 204651.05
SET: 204642.11
SET: 204679.42
SET: 204708.66
SET: 204652.83
====== SET ======
  20000016 requests completed in 97.70 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.77% <= 0.2 milliseconds
4.90% <= 0.3 milliseconds
12.10% <= 0.4 milliseconds
19.13% <= 0.5 milliseconds
26.68% <= 0.6 milliseconds
35.04% <= 0.7 milliseconds
43.83% <= 0.8 milliseconds
52.08% <= 0.9 milliseconds
59.38% <= 1.0 milliseconds
65.70% <= 1.1 milliseconds
71.03% <= 1.2 milliseconds
75.39% <= 1.3 milliseconds
79.01% <= 1.4 milliseconds
81.99% <= 1.5 milliseconds
84.43% <= 1.6 milliseconds
86.44% <= 1.7 milliseconds
88.13% <= 1.8 milliseconds
89.55% <= 1.9 milliseconds
90.73% <= 2 milliseconds
96.66% <= 3 milliseconds
98.56% <= 4 milliseconds
99.31% <= 5 milliseconds
99.62% <= 6 milliseconds
99.78% <= 7 milliseconds
99.87% <= 8 milliseconds
99.93% <= 9 milliseconds
99.96% <= 10 milliseconds
99.97% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 23 milliseconds
204700.06 requests per second


