2023-11-21 22:48:51
SET: nan
SET: 267616.00
SET: 263520.00
SET: 250677.33
SET: 255496.00
SET: 241696.00
SET: 242986.67
SET: 241728.00
SET: 243060.00
SET: 241870.22
SET: 235836.80
SET: 233405.09
SET: 235240.00
SET: 235480.61
SET: 236564.58
SET: 239605.33
SET: 241693.58
SET: 240048.94
SET: 239383.25
SET: 235525.27
SET: 232449.34
SET: 229982.11
SET: 227507.91
SET: 226827.06
SET: 228514.31
SET: 229333.33
SET: 230183.55
SET: 230531.45
SET: 230723.19
SET: 230891.95
SET: 230786.03
SET: 230861.27
SET: 230595.06
SET: 231225.78
SET: 231782.75
SET: 232392.89
SET: 232728.42
SET: 232937.78
SET: 232678.31
SET: 231541.70
SET: 230399.67
SET: 228796.25
SET: 227523.41
SET: 226160.80
SET: 224760.11
SET: 223720.77
SET: 222913.55
SET: 222063.78
SET: 222261.31
SET: 221915.66
SET: 222005.92
SET: 222112.08
SET: 221918.98
SET: 221824.44
SET: 222231.97
SET: 222312.34
SET: 222482.91
SET: 222962.20
SET: 223194.55
SET: 223204.94
SET: 223324.33
SET: 223818.66
SET: 223860.77
SET: 223673.67
SET: 223781.17
SET: 224221.36
SET: 224245.62
SET: 224368.42
SET: 224795.62
SET: 224462.84
SET: 224726.16
SET: 224746.55
SET: 224761.50
SET: 224802.31
SET: 224871.84
SET: 224361.91
SET: 224174.16
SET: 224212.17
SET: 224652.56
SET: 224619.22
SET: 224656.64
SET: 224850.64
SET: 224816.48
SET: 224688.02
SET: 224179.66
SET: 223523.08
SET: 222623.11
SET: 221966.11
SET: 221480.22
SET: 220792.95
SET: 220210.83
SET: 219534.67
SET: 218882.23
SET: 218415.72
SET: 217991.41
SET: 217394.98
SET: 216914.86
SET: 216442.02
SET: 215713.22
SET: 215100.30
SET: 214580.81
SET: 214218.17
SET: 213874.94
SET: 213687.91
SET: 213934.22
SET: 214155.73
SET: 214320.31
SET: 214493.16
SET: 214505.03
SET: 214683.58
SET: 214392.67
SET: 214402.83
SET: 214529.55
SET: 214646.95
SET: 214855.98
SET: 214958.50
SET: 214760.20
SET: 214814.52
SET: 214916.95
SET: 215111.97
SET: 215124.17
SET: 215298.67
SET: 215316.20
SET: 215385.72
SET: 215578.39
SET: 215581.50
SET: 215619.34
SET: 215767.11
SET: 215844.88
SET: 215671.33
SET: 215682.47
SET: 215831.09
SET: 215757.77
SET: 215657.88
SET: 215658.05
SET: 215505.67
SET: 215264.77
SET: 215433.98
SET: 215528.69
SET: 215623.64
SET: 215723.86
SET: 215712.20
SET: 215711.30
SET: 215795.61
SET: 215945.14
SET: 215982.34
SET: 216073.16
SET: 216137.69
SET: 216071.73
SET: 216214.39
SET: 216256.03
SET: 216252.00
SET: 216225.09
SET: 216336.28
SET: 216164.66
SET: 216037.14
SET: 216066.42
SET: 216011.20
SET: 216140.66
SET: 216107.00
SET: 215950.83
SET: 216021.05
SET: 216008.89
SET: 216061.02
SET: 215953.98
SET: 215944.38
SET: 216030.25
SET: 216100.92
SET: 216291.61
SET: 216224.42
SET: 216341.98
SET: 216468.47
SET: 216410.34
SET: 216258.80
SET: 216381.73
SET: 216351.78
SET: 216371.03
SET: 216292.16
SET: 216245.95
SET: 216037.70
SET: 215990.94
SET: 215908.48
SET: 215962.39
SET: 215939.70
SET: 215951.16
SET: 215762.66
SET: 215612.45
SET: 215589.20
SET: 215594.11
SET: 215656.67
SET: 215594.03
SET: 215621.61
SET: 215586.27
SET: 215619.89
SET: 215635.55
SET: 215710.55
SET: 215724.92
SET: 215515.77
SET: 215379.95
SET: 215175.14
SET: 215118.02
SET: 215002.12
SET: 214822.12
SET: 214414.44
SET: 214113.16
SET: 213843.94
SET: 213621.11
SET: 213319.78
SET: 212973.86
SET: 212621.00
SET: 212235.25
SET: 212011.81
SET: 211762.14
SET: 211383.30
SET: 211160.84
SET: 210881.42
SET: 210717.09
SET: 210521.12
SET: 210168.97
SET: 209836.39
SET: 209566.39
SET: 209312.03
SET: 209115.72
SET: 208888.58
SET: 208639.66
SET: 208455.77
SET: 208262.88
SET: 208107.34
SET: 207907.86
SET: 207731.62
SET: 207518.55
SET: 207285.59
SET: 207126.03
SET: 206901.69
SET: 206727.66
SET: 206435.08
SET: 206276.14
SET: 206146.86
SET: 205960.64
SET: 205822.94
SET: 205687.30
SET: 205603.08
SET: 205456.92
SET: 205335.66
SET: 205367.80
SET: 205458.16
SET: 205380.34
SET: 205371.41
SET: 205374.91
SET: 205450.84
SET: 205493.78
SET: 205495.73
SET: 205471.41
SET: 205449.41
SET: 205575.64
SET: 205624.14
SET: 205730.72
SET: 205801.39
SET: 205775.33
SET: 205690.44
SET: 205729.45
SET: 205688.89
SET: 205681.23
SET: 205722.39
SET: 205564.81
SET: 205563.98
SET: 205629.41
SET: 205698.16
SET: 205750.30
SET: 205714.19
SET: 205754.62
SET: 205820.38
SET: 205814.73
SET: 205808.92
SET: 205794.84
SET: 205831.58
SET: 205841.98
SET: 205749.80
SET: 205759.03
SET: 205845.23
SET: 205790.83
SET: 205794.25
SET: 205828.38
SET: 205721.12
SET: 205686.47
SET: 205702.88
SET: 205762.00
SET: 205748.62
SET: 205764.77
SET: 205634.30
SET: 205636.83
SET: 205666.92
SET: 205723.97
SET: 205677.81
SET: 205645.78
SET: 205660.05
SET: 205655.84
SET: 205672.67
SET: 205701.72
SET: 205699.34
SET: 205741.88
SET: 205697.42
SET: 205698.05
SET: 205767.70
SET: 205672.05
SET: 205633.97
SET: 205619.11
SET: 205481.14
SET: 205463.56
SET: 205458.31
SET: 205398.31
SET: 205397.11
SET: 205387.44
SET: 205351.75
SET: 205396.03
SET: 205430.78
SET: 205459.05
SET: 205427.45
SET: 205465.23
SET: 205338.94
SET: 205336.86
SET: 205362.89
SET: 205279.00
SET: 205209.11
SET: 205178.83
SET: 205090.78
SET: 205066.67
SET: 205029.48
SET: 205014.64
SET: 205047.62
SET: 204955.39
SET: 204970.97
SET: 204960.05
SET: 204973.78
SET: 204975.66
SET: 205001.67
SET: 204915.22
SET: 204887.45
SET: 204866.75
SET: 204814.11
SET: 204777.58
SET: 204773.64
SET: 204676.02
SET: 204639.92
SET: 204680.55
SET: 204577.62
SET: 204551.38
SET: 204588.12
SET: 204565.70
SET: 204568.39
SET: 204609.34
SET: 204613.62
SET: 204608.44
SET: 204614.50
SET: 204549.62
SET: 204546.19
SET: 204516.89
SET: 204430.61
SET: 204405.47
SET: 204386.52
SET: 204303.19
SET: 204260.53
SET: 204241.17
SET: 204200.42
SET: 204171.06
SET: 204118.28
SET: 204115.95
SET: 204126.61
SET: 204104.50
SET: 204059.94
SET: 204083.89
SET: 204020.98
SET: 203975.42
SET: 203971.03
SET: 203870.89
SET: 203858.27
SET: 203834.97
SET: 203737.61
SET: 203697.36
SET: 203745.41
SET: 203657.89
SET: 203624.12
SET: 203666.72
SET: 203656.14
SET: 203663.11
SET: 203685.92
SET: 203646.89
SET: 203647.80
SET: 203600.08
SET: 203623.14
SET: 203746.92
SET: 203924.72
====== SET ======
  20000000 requests completed in 97.96 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.65% <= 0.2 milliseconds
4.58% <= 0.3 milliseconds
11.60% <= 0.4 milliseconds
18.55% <= 0.5 milliseconds
25.99% <= 0.6 milliseconds
34.24% <= 0.7 milliseconds
43.16% <= 0.8 milliseconds
51.64% <= 0.9 milliseconds
59.15% <= 1.0 milliseconds
65.58% <= 1.1 milliseconds
70.99% <= 1.2 milliseconds
75.46% <= 1.3 milliseconds
79.17% <= 1.4 milliseconds
82.21% <= 1.5 milliseconds
84.65% <= 1.6 milliseconds
86.67% <= 1.7 milliseconds
88.33% <= 1.8 milliseconds
89.73% <= 1.9 milliseconds
90.86% <= 2 milliseconds
96.69% <= 3 milliseconds
98.54% <= 4 milliseconds
99.28% <= 5 milliseconds
99.60% <= 6 milliseconds
99.76% <= 7 milliseconds
99.86% <= 8 milliseconds
99.91% <= 9 milliseconds
99.94% <= 10 milliseconds
99.95% <= 11 milliseconds
99.97% <= 12 milliseconds
99.98% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 19 milliseconds
204171.22 requests per second


